,Number of Features,Selected Features,R2,RMSE,Cor
0,1,IE,0.8017483166515655,0.44525462754297623,[1.62856391]
1,2,"IE, LAS",0.8029732991052888,0.4438768983566403,[ 1.64341946 -0.06566369]
2,3,"Sm, IE, LAS",0.8531864430041973,0.3831625725404332,[ 0.51669989  2.01512682 -0.55940346]
3,4,"Nd, Sm, IE, LAS",0.9312774038977945,0.26214994965135047,[ 0.62258366  1.04170157  2.95945436 -1.58339797]
4,5,"Nd, Sm, EN, IE, LAS",0.9315833476269769,0.2615657706448286,[ 0.85801724  1.32195088 -0.1656941   3.33960522 -1.89131478]
5,6,"Gd, Nd, Sm, EN, IE, LAS",0.948086709399827,0.22784488276055925,"[  3.51193841 -21.69820517 -25.24564935  12.67447951 -36.4200869
  31.24550893]"
6,7,"Gd, Nd, Sm, EN, R, IE, LAS",0.9660428298887853,0.18427471370542048,"[  11262.42175674  -73501.87782799  -86492.07010078   40570.78309338
   -2130.5465074  -130575.0476697   107134.61407723]"
7,8,"La, Gd, Nd, Sm, EN, R, IE, LAS",0.9768812311099276,0.15204857411390746,"[-5.24917964e+11  1.12009093e+12 -5.22828566e+12 -6.04001916e+12
  2.64409626e+12  7.30251451e+11 -9.30144596e+12  8.26512075e+12]"
8,9,"Pr, La, Gd, Nd, Sm, EN, R, IE, LAS",0.9807061446211128,0.13890232315871157,"[-2.27817391e+12 -5.73562852e+12  3.53530527e+12 -4.26771147e+12
 -3.86504454e+12 -2.98821741e+12  4.32245649e+12 -9.40282710e+12
  1.07251476e+13]"
9,10,"Pr, La, Gd, Nd, Sm, EN, R, IE, LAS, M",0.981148146049894,0.1373020536995205,"[-2.08675419e+12 -5.44136463e+12  3.89560283e+12 -3.99379367e+12
 -3.47846190e+12 -2.72751174e+12  4.37426406e+12 -9.29112872e+12
  1.02699528e+13 -4.74906088e+11]"
10,11,"Pr, La, Gd, Nd, Sm, Y, EN, R, IE, LAS, M",0.9811287181106806,0.1373727843836595,"[-1.06446539e+12 -3.96619989e+12  5.97551125e+12 -3.10713263e+12
 -2.06189122e+12 -2.89262402e+11 -1.05880369e+12  4.75724930e+12
 -9.68048352e+12  8.80281147e+12 -3.26740687e+12]"
11,12,"Pr, La, Gd, Nd, Sm, Y, EN, R, IE, LAS, M, V",0.9973683636097291,0.05129947748535948,"[-1.78055975e+12 -1.78351365e+12 -1.10814900e+13 -2.96969494e+12
 -5.64605752e+12 -1.17374935e+13 -2.34690394e+12 -5.13371992e+12
  7.34025345e+12  2.59136834e+12  8.03309220e+11  6.88922554e-01]"
12,13,"Pr, La, Gd, Nd, Sm, Y, EN, R, IE, LAS, M, V, BaO",0.9987127302055724,0.03587854225616817,"[-2.80961663e+12 -6.73357362e+12  4.13081092e+12  1.02708860e+12
  2.77247746e+12  2.15635030e+11 -6.91464742e+12  5.15354143e+12
 -1.37782675e+12  3.80136992e+12 -6.57809520e+11  1.10067136e+00
 -9.83779414e-01]"
13,14,"Pr, La, Gd, Nd, Sm, Y, EN, R, IE, LAS, M, V, CoO, BaO",0.9998828628930942,0.01082298973970409,"[-1.36943652e+12 -3.83886949e+12  5.45678847e+12  8.11444106e+11
  2.45790567e+12  3.98911688e+12 -3.53063411e+12  4.60891766e+12
 -3.90094474e+12  2.57596434e+12  1.90213464e+11 -1.91654376e+01
  5.25990517e+00  1.59141299e+01]"
14,15,"Pr, La, Gd, Nd, Sm, Y, EN, R, IE, LAS, M, V, CoO, BaO, LnO",0.9999994200149847,0.0007615674725973533,"[ 7.76897672e+10  1.38333951e+11  7.91135391e+10 -1.48404712e+11
 -1.77079787e+11  1.03700005e+11  2.48241280e+11 -2.20862591e+10
 -3.38762731e+11  1.52346302e+11 -1.82988823e+10 -8.50318884e+00
  2.61623142e+00  9.27486479e+00 -2.09217359e+00]"
15,16,"Pr, La, Gd, Nd, Sm, Y, EN, R, IE, LAS, M, E, V, CoO, BaO, LnO",1.0,1.9480848091402106e-11,"[-4.10732670e+03  2.60479437e+02  1.50335827e+03  2.05881234e+02
  6.76423335e+02  7.91707111e+02 -4.61281726e+03 -9.14067824e+03
 -5.52646542e+03 -4.72258115e+03 -1.81200873e+03  3.60168990e-02
 -4.57016164e+00  1.58899610e+00  5.73170376e+00 -1.78947067e+00]"
16,17,"Pr, La, Gd, Nd, Sm, Y, EN, R, IE, LAS, M, E, V, CoO, BaO, LnO, LnBa",1.0,2.9201467263256123e-14,"[ -3.17342077  -2.9390618   -0.91191838  -2.94420803  -2.59807921
  -5.20066921  -1.93006169  -0.90882557  -0.7920804    3.53499821
  -2.16643968  -0.6857028  -90.84893357  23.99178501  80.11390774
  -5.34213696   0.53945983]"
17,18,"Pr, La, Gd, Nd, Ce, Sm, Y, EN, R, IE, LAS, M, E, V, CoO, BaO, LnO, LnBa",1.0,1.664631959167119e-14,"[ -2.94961486  -2.45045301  -0.6722889   -2.53117833   0.1164645
  -2.14880003  -4.16144303  -1.76706071  -1.0808534   -0.69437942
   2.81589435  -1.70236873  -0.68569631 -90.84815817  23.99158367
  80.11323925  -5.34210503   0.53945498]"
