,Number of Features,R2,RMSE,Pr,La,Gd,Nd,Ce,Sm,Y,EN,R,IE,LAS,M,E,V,CoO,BaO,LnO,LnBa,Decline rate
0,1,0.9332187916805185,0.25842060351195206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1,2,0.9556706573929872,0.21054534572631328,0.0,0.17873869464620185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8212613053537982,0.0,0.0,0.0,0.0,0
2,3,0.9696118169767478,0.1743220669429208,0.0,0.0,0.0,0.0,0.23153759463723092,0.0,0.0,0.0,0.19400374984022806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574458655522541,0.0,0
3,4,0.9781446955195882,0.14783539657474412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17180211540789395,0.0,0.3519197388014666,0.17287625630673012,0.0,0.0,0.3034018894839094,0.0,0.0,0.0,0.0,0
4,5,0.9861333800116238,0.11775661335303503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08170818606325422,0.0,0.13325768927378503,0.06658663730105627,0.0,0.0,0.0,0.0,0.31704668618949505,0.40140080117240934,0.0,0
5,6,0.9889822985815899,0.10496523909566453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08375240494682397,0.0,0.15864245335469784,0.06972098656296305,0.0,0.0,0.0,0.0,0.2485242683758724,0.38681865089278483,0.052541235866857904,0
6,7,0.9928091396529044,0.08479894071918316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070530260979525155,0.0,0.011942654046041702,0.005810745535586263,0.0,0.0,0.46300534595196113,0.12056218498677725,0.3553425260863585,0.03628351729532264,0.0,0
7,8,0.9979058715964076,0.045761647736859305,0.0,0.0,0.0,0.0,0.0065485034199983146,0.0,0.004518650863175597,0.0,0.0,0.011152309736387301,0.004975965023278705,0.0,0.0019593478455988784,0.4627140509305973,0.12144950827682922,0.3866816639041346,0.0,0.0,0
8,9,0.9993851181323701,0.024796811642424522,0.1781837903577184,0.25254471451706384,0.038367898109907296,0.06426844249291219,0.1446437179867242,0.0,0.0,0.1218977861247483,0.15421436439235647,0.0458792860185612,0.0,0.0,0.0,0.0,8.141291436221831e-15,0.0,0.0,0.0,0
9,10,0.9999660853245647,0.00582363077772921,0.00974345573476284,0.0,0.0,0.06972048365998779,0.07117319109040367,0.05311561443201859,0.3516117628142627,0.11583339315984308,0.0,0.0,0.0,0.3288020775624674,9.744418468252545e-10,1.2252775333632171e-08,0.0,0.0,8.319036750241721e-09,0.0,0
10,11,0.9999999701987198,0.00017263047311577806,0.0016263621494288203,0.0,0.01091634413766415,0.0,0.004361080085441698,0.0,0.014646427549243326,0.0,0.0,0.025023792084916802,0.0,0.0,0.0032154839955598874,0.42520731160056935,0.11229547915194225,0.37506469601480924,0.025116726048326446,0.0025262971820980357,0
11,12,1.0,1.0769878664993766e-14,0.0,0.0,0.0,0.0011251570413341853,0.007308726194674621,0.0,0.005563122142017357,0.0,0.004062697034424936,0.010218438585429994,0.00897486989837326,0.0,0.0032759723020950185,0.4340220429065537,0.11461794093626608,0.38273424234678327,0.025519537317513396,0.002577253294534202,0
12,13,1.0,9.572179522396007e-15,0.004294370487687493,0.0,0.0023481196626106613,0.0026090315879335906,0.0034067011578019753,0.0,0.0,0.0009355366566889718,0.0,0.004078882321226423,0.001623263448070316,0.0,0.0033370246925752585,0.44211642347492086,0.11675576682397841,0.38987317078221373,0.025996407355676463,0.002625301548615842,0
13,14,1.0,1.2169258693132203e-14,0.0,0.026272928943998672,0.01264641292463721,0.0026479415346546816,0.014888196053725551,0.0,0.0,0.022175868563574154,0.038360426246177894,0.0,0.053165443284979394,0.011437176092582003,0.0027849665520141968,0.3689534630776655,0.09743372700457305,0.3253516405860799,0.021690888370121012,0.002190920765216615,0
14,15,1.0,1.2101754158874562e-14,0.0028216938428360914,0.0,0.0002872955940668652,0.0,0.04240712466713772,0.010367588850242465,0.0,0.04205214830350415,0.028278840517025967,0.02115484103150568,0.057357389208599265,0.02170006368475172,0.002632041085802418,0.3487350649871693,0.09209611156209226,0.30753010244020107,0.020508954193956753,0.0020707400311083426,0
15,16,1.0,1.5311459285712368e-14,0.004713346141417537,0.00264767805602816,0.00031678625516946943,0.0,0.009607567715520056,0.0014956409259038077,0.04982536159969815,0.0,0.008669810093912492,0.021276568515405037,0.019390387185842423,0.034898825298829185,0.0028826993005929423,0.38191352744830026,0.10085674508781009,0.3367823802646934,0.022454831843728047,0.0022678442671487144,0
16,17,1.0,1.567376416038609e-14,0.0,7.820823896809619e-05,0.001594611798585719,0.007466876533290838,0.009348982585178595,0.008510240725529111,0.01795163230853692,0.0005463367232052185,0.0011347378921706312,0.0010100251062026269,0.02066236040960087,0.0074413023820219535,0.003144964444543341,0.4166685329292328,0.11003530339187512,0.36743196709435716,0.024499719970476033,0.002474197466224934,0
17,18,1.0,1.664631959167119e-14,0.013132101186636455,0.010909762256938037,0.0029931249475261545,0.011269162761789702,0.0005185163748508171,0.009566760654852268,0.018527331024382004,0.007867203389996155,0.004812111719645944,0.0030914750775129685,0.012536758630786246,0.007579185598398283,0.003052816660384662,0.40446880751306874,0.10681391272411503,0.3566754351323891,0.02378380471713957,0.0024017296295881308,0
