Rank,RMSE,Length,Model Equation
1,0.3147,47,"sub(sub(sub(sub(E, div(sub(Y, add(M, sub(Pr, IE))), mul(sub(R, M), mul(mul(La, La), sub(Y, R))))), div(mul(sub(La, Sm), sub(Nd, Ce)), Y)), div(mul(sub(La, EN), sub(Nd, Y)), 3.826)), div(sub(LAS, Pr), 2.707))"
2,0.3854,53,"sub(sub(sub(sub(sub(E, div(sub(Y, M), mul(sub(R, M), mul(mul(Y, Y), sub(Y, R))))), div(mul(sub(La, EN), sub(Nd, Y)), Y)), div(mul(sub(La, EN), sub(Nd, Y)), Y)), div(sub(neg(Gd), neg(LAS)), Y)), div(sub(neg(Gd), neg(LAS)), LAS))"
3,0.3907,58,"sub(E, div(add(add(sub(Nd, IE), mul(sub(La, EN), sub(Nd, IE))), add(add(sub(La, M), mul(div(neg(div(Ce, La)), neg(sub(La, IE))), sub(Nd, La))), add(add(sub(Nd, M), mul(div(sub(La, E), neg(sub(La, IE))), sub(Nd, Gd))), mul(sub(La, EN), sub(Nd, IE))))), La))"
4,0.4503,43,"add(div(div(Pr, Sm), div(sub(div(Pr, div(sub(Nd, Y), Pr)), mul(LAS, IE)), div(div(M, LAS), sub(La, R)))), add(div(sub(Pr, Sm), LAS), add(div(sub(M, EN), Nd), add(div(sub(M, EN), Nd), E))))"
5,0.4536,37,"add(div(div(M, Sm), div(sub(div(Pr, div(sub(Nd, Y), Nd)), mul(LAS, IE)), div(div(M, Sm), sub(La, R)))), add(div(sub(M, EN), 3.386), add(div(sub(Gd, Sm), Nd), E)))"
6,0.4611,40,"sub(E, div(add(add(sub(Y, M), mul(sub(La, EN), sub(Nd, IE))), add(add(sub(La, M), mul(div(sub(Y, E), neg(sub(La, IE))), sub(Nd, IE))), mul(sub(La, E), sub(Nd, Ce)))), 4.862))"
7,0.4643,37,"add(div(div(M, Sm), div(sub(div(Pr, div(sub(Nd, Y), Nd)), mul(LAS, IE)), div(div(M, Sm), sub(La, R)))), add(div(sub(M, EN), 4.275), add(div(sub(Pr, EN), 4.275), E)))"
8,0.4800,37,"add(div(div(M, Y), div(sub(div(Nd, div(sub(Nd, Y), Nd)), mul(LAS, IE)), div(div(Ce, Sm), sub(La, R)))), add(div(sub(Pr, EN), Nd), add(div(sub(Pr, Y), LAS), E)))"
9,0.4810,37,"sub(sub(E, div(div(div(Sm, Gd), sub(M, LAS)), 4.472)), div(add(add(sub(La, M), add(sub(La, M), mul(sub(La, E), sub(Nd, IE)))), mul(sub(La, EN), sub(Nd, IE))), 3.668))"
10,0.4868,49,"sub(sub(E, div(add(sub(La, M), mul(div(mul(div(IE, EN), mul(E, -1.679)), mul(sub(IE, R), mul(LAS, EN))), sub(Nd, IE))), 4.028)), div(add(add(sub(La, M), mul(sub(La, E), sub(Nd, IE))), mul(sub(La, EN), sub(Nd, IE))), 4.028))"
11,0.4900,53,"sub(E, div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), add(add(add(sub(La, M), mul(div(sub(Y, E), neg(sub(La, IE))), sub(Nd, IE))), mul(div(sub(Y, E), neg(sub(La, IE))), sub(Nd, IE))), mul(sub(La, E), sub(Nd, Ce)))), Y))"
12,0.4900,53,"sub(E, div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), add(add(add(sub(La, M), mul(div(sub(Y, E), neg(sub(La, IE))), sub(Nd, IE))), mul(div(sub(Y, E), neg(sub(La, IE))), sub(Nd, IE))), mul(sub(La, E), sub(Nd, Ce)))), Y))"
13,0.5008,25,"add(div(sub(7.361, R), Sm), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), add(div(sub(M, LAS), add(La, -2.770)), E)))"
14,0.5012,49,"sub(sub(E, div(add(sub(La, M), mul(div(mul(div(IE, EN), mul(E, -1.679)), mul(sub(IE, R), mul(IE, Nd))), sub(Nd, IE))), 4.028)), div(add(add(sub(La, M), mul(sub(La, E), sub(Nd, IE))), mul(sub(La, EN), sub(Nd, IE))), 4.028))"
15,0.5027,25,"add(div(sub(Pr, R), Sm), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), add(div(sub(M, LAS), add(La, -2.770)), E)))"
16,0.5027,25,"add(div(sub(Pr, R), Sm), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), add(div(sub(M, LAS), add(La, -2.770)), E)))"
17,0.5101,53,"add(div(div(sub(EN, IE), sub(EN, Sm)), Y), add(div(div(sub(Sm, Gd), sub(EN, Pr)), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), add(div(div(sub(Sm, Gd), sub(EN, Pr)), E), add(div(sub(M, Y), La), E)))), add(div(sub(M, Y), La), E)))"
18,0.5162,27,"add(div(div(sub(EN, IE), sub(EN, Sm)), Y), add(div(div(sub(Sm, Pr), sub(EN, Pr)), E), add(div(sub(M, Y), La), E)))"
19,0.5271,47,"div(add(add(mul(IE, E), sub(Ce, La)), neg(mul(div(neg(div(add(add(mul(IE, E), sub(Ce, La)), neg(mul(div(neg(Sm), sub(EN, Sm)), div(sub(IE, Sm), neg(Y))))), Y)), sub(EN, Sm)), div(sub(IE, Sm), neg(Y))))), Y)"
20,0.5338,23,"add(div(sub(M, La), Y), add(div(sub(Gd, LAS), 3.285), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), E)))"
21,0.5373,23,"add(div(sub(Gd, LAS), 4.383), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), add(div(sub(M, La), Y), E)))"
22,0.5386,23,"add(div(sub(M, LAS), 3.708), add(div(sub(Pr, La), Y), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), E)))"
23,0.5386,23,"add(div(sub(M, Sm), 2.854), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), add(div(sub(M, La), Y), E)))"
24,0.5402,23,"add(div(sub(Gd, LAS), 2.854), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), add(div(sub(M, La), Y), E)))"
25,0.5433,21,"add(div(sub(M, add(LAS, sub(Y, 7.898))), La), add(div(div(sub(EN, E), sub(EN, Sm)), Y), E))"
26,0.5489,29,"add(div(div(sub(EN, neg(neg(E))), sub(EN, Sm)), Ce), add(div(div(sub(Sm, IE), sub(EN, Pr)), EN), add(div(sub(M, Y), 3.762), E)))"
27,0.5528,21,"add(div(sub(EN, La), sub(Nd, Y)), add(div(div(-7.435, mul(R, mul(sub(La, R), R))), R), E))"
28,0.5547,33,"sub(sub(E, div(div(div(Sm, Gd), sub(M, LAS)), 4.472)), div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), mul(sub(La, E), sub(Nd, IE))), 3.668))"
29,0.5596,44,"div(mul(IE, add(div(div(mul(neg(7.478), sub(La, add(div(div(mul(neg(add(div(div(mul(neg(Ce), sub(E, EN)), sub(Nd, IE)), LAS), E)), sub(E, EN)), sub(Nd, IE)), LAS), E))), sub(Nd, Y)), Sm), E)), Y)"
30,0.5664,21,"add(div(sub(EN, La), sub(Nd, Y)), add(div(div(sub(Nd, Ce), sub(M, LAS)), add(Ce, -1.784)), E))"
31,0.5712,33,"add(div(div(R, Ce), div(sub(Nd, mul(Ce, Y)), div(div(Nd, Ce), sub(La, R)))), add(div(mul(add(M, -1.471), div(sub(Gd, Nd), sub(La, Y))), LAS), E))"
32,0.5823,26,"add(div(neg(sub(La, add(div(sub(Nd, La), sub(div(R, div(Y, div(R, div(Y, EN)))), LAS)), EN))), sub(Nd, Y)), E)"
33,0.5859,17,"add(div(sub(Pr, Y), 3.488), add(div(div(sub(EN, IE), sub(EN, Sm)), Y), E))"
34,0.5883,17,"add(div(div(sub(EN, E), sub(EN, Sm)), Y), add(div(sub(M, 4.106), Y), E))"
35,0.5917,18,"add(div(sub(M, LAS), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), La)), E))"
36,0.5917,17,"add(div(sub(M, LAS), La), add(div(sub(Nd, La), mul(sub(EN, Sm), La)), E))"
37,0.5927,33,"sub(sub(E, div(div(div(Sm, Gd), sub(M, LAS)), 4.028)), div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), mul(sub(La, E), sub(Nd, IE))), 4.028))"
38,0.5927,33,"sub(sub(E, div(div(div(Sm, Gd), sub(M, LAS)), 4.028)), div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), mul(sub(La, E), sub(Nd, IE))), 4.028))"
39,0.5927,33,"sub(sub(E, div(div(div(Sm, Gd), sub(M, LAS)), 4.028)), div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), mul(sub(La, E), sub(Nd, IE))), 4.028))"
40,0.5943,27,"add(div(sub(M, E), La), add(div(sub(M, LAS), La), add(div(sub(Sm, IE), mul(sub(EN, Nd), add(Y, sub(Y, M)))), E)))"
41,0.5950,21,"add(div(sub(add(div(sub(Nd, R), mul(div(EN, Ce), sub(Nd, LAS))), EN), La), sub(Nd, Y)), E)"
42,0.5972,33,"add(div(div(M, Y), div(sub(div(7.545, div(sub(Nd, La), Nd)), mul(M, LAS)), div(div(8.163, sub(Ce, Y)), sub(Y, R)))), add(div(sub(M, E), 3.208), E))"
43,0.5980,20,"add(div(Nd, div(mul(mul(Y, Y), sub(EN, Sm)), sub(sub(sub(R, La), La), neg(Nd)))), E)"
44,0.5992,51,"add(div(sub(sub(M, La), add(add(add(add(add(sub(Y, EN), mul(sub(La, EN), sub(Nd, LAS))), mul(sub(La, EN), sub(Nd, La))), mul(sub(La, E), sub(Nd, Y))), mul(sub(La, E), sub(Nd, E))), mul(sub(La, E), sub(Nd, E)))), Y), E)"
45,0.6007,21,"add(div(sub(add(div(sub(Nd, R), mul(div(EN, E), sub(Nd, LAS))), EN), La), sub(Nd, Y)), E)"
46,0.6015,33,"add(div(sub(Nd, EN), sub(mul(Gd, Gd), mul(7.410, R))), add(div(sub(Y, EN), sub(mul(Y, Y), mul(R, IE))), add(mul(mul(0.055, M), sub(Pr, Y)), E)))"
