Rank,RMSE,Length,Model Equation
1,0.4276,27,"add(div(sub(M, La), sub(3.426, sub(M, La))), add(div(div(LAS, mul(3.983, mul(Ce, sub(Y, EN)))), sub(LAS, sub(Nd, 3.092))), E))"
2,0.4311,42,"add(div(sub(La, EN), mul(add(-4.568, Y), mul(div(Y, Sm), mul(div(Y, Sm), add(div(mul(add(La, M), sub(M, LAS)), sub(Gd, Nd)), -3.334))))), add(div(sub(Nd, Y), add(add(LAS, E), neg(R))), E))"
3,0.4458,55,"add(div(sub(M, 6.236), mul(-5.737, sub(Nd, EN))), add(div(sub(Nd, Y), LAS), add(div(sub(Ce, E), LAS), add(div(sub(M, La), sub(add(La, 4.318), add(div(sub(Nd, Y), LAS), add(div(sub(Ce, E), LAS), add(div(sub(M, La), sub(add(La, 4.318), M)), E))))), E))))"
4,0.4527,39,"add(div(sub(sub(div(8.583, sub(Gd, sub(div(M, sub(Gd, La)), sub(E, M)))), sub(E, add(EN, -0.473))), div(add(div(EN, La), sub(LAS, Pr)), div(sub(Ce, EN), sub(R, Y)))), La), E)"
5,0.4637,29,"add(div(sub(M, 6.206), mul(-4.707, sub(Pr, EN))), add(div(sub(add(sub(add(sub(mul(div(Ce, E), M), LAS), M), La), Pr), La), Y), E))"
6,0.4648,25,"add(div(div(div(La, 7.136), sub(Y, EN)), Pr), add(div(sub(R, E), LAS), add(div(sub(M, La), sub(8.356, EN)), E)))"
7,0.4700,39,"add(div(neg(div(div(neg(La), sub(EN, Y)), -8.297)), IE), add(div(sub(R, E), Sm), add(div(sub(M, La), div(add(La, La), add(div(sub(M, La), div(add(La, La), M)), E))), E)))"
8,0.4789,47,"add(div(sub(M, La), sub(8.959, M)), add(div(div(div(sub(sub(div(La, Sm), add(Sm, R)), neg(div(Sm, Gd))), mul(neg(div(LAS, La)), add(div(R, E), add(Gd, Nd)))), sub(Y, EN)), Y), add(div(sub(Pr, Y), LAS), E)))"
9,0.4800,33,"add(div(mul(sub(Sm, La), sub(Gd, Ce)), sub(sub(La, 1.541), 1.541)), add(div(sub(M, 5.166), sub(Y, div(EN, sub(M, La)))), add(div(sub(M, La), LAS), E)))"
10,0.4815,25,"add(div(sub(M, La), sub(8.959, M)), add(div(div(div(La, 7.217), sub(Y, EN)), Y), add(div(sub(Pr, Y), LAS), E)))"
11,0.4869,30,"add(div(div(sub(M, La), sub(neg(-8.678), M)), div(mul(sub(add(sub(EN, LAS), mul(R, LAS)), mul(R, Y)), sub(Ce, EN)), sub(La, Y))), E)"
12,0.4908,26,"add(div(sub(M, La), sub(Y, add(EN, -2.924))), add(div(div(div(neg(R), sub(Y, EN)), sub(-6.407, 8.180)), add(EN, -2.678)), E))"
13,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(div(mul(M, M), La), M), La))), Y), E))"
14,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
15,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
16,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
17,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
18,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
19,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
20,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
21,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
22,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
23,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
24,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
25,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
26,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
27,0.4924,28,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.641)), IE), add(div(neg(sub(LAS, div(mul(M, div(mul(M, M), La)), La))), Y), E))"
28,0.4949,43,"add(div(neg(div(div(neg(R), sub(EN, Y)), -8.267)), EN), add(div(neg(sub(E, div(mul(add(div(neg(sub(E, div(mul(M, div(mul(M, M), La)), La))), Y), E), div(mul(M, M), La)), La))), Y), E))"
29,0.4949,43,"add(div(neg(div(div(neg(R), sub(EN, Y)), -8.267)), EN), add(div(neg(sub(E, div(mul(add(div(neg(sub(E, div(mul(M, div(mul(M, M), La)), La))), Y), E), div(mul(M, M), La)), La))), Y), E))"
30,0.4949,43,"add(div(neg(div(div(neg(R), sub(EN, Y)), -8.267)), EN), add(div(neg(sub(E, div(mul(add(div(neg(sub(E, div(mul(M, div(mul(M, M), La)), La))), Y), E), div(mul(M, M), La)), La))), Y), E))"
31,0.4949,43,"add(div(neg(div(div(neg(R), sub(EN, Y)), -8.267)), EN), add(div(neg(sub(E, div(mul(add(div(neg(sub(E, div(mul(M, div(mul(M, M), La)), La))), Y), E), div(mul(M, M), La)), La))), Y), E))"
32,0.4949,43,"add(div(neg(div(div(neg(R), sub(EN, Y)), -8.267)), EN), add(div(neg(sub(E, div(mul(add(div(neg(sub(E, div(mul(M, div(mul(M, M), La)), La))), Y), E), div(mul(M, M), La)), La))), Y), E))"
33,0.4949,43,"add(div(neg(div(div(neg(R), sub(EN, Y)), -8.267)), EN), add(div(neg(sub(E, div(mul(add(div(neg(sub(E, div(mul(M, div(mul(M, M), La)), La))), Y), E), div(mul(M, M), La)), La))), Y), E))"
34,0.4949,43,"add(div(neg(div(div(neg(R), sub(EN, Y)), -8.267)), EN), add(div(neg(sub(E, div(mul(M, div(mul(add(div(neg(sub(E, div(mul(M, div(mul(M, M), La)), La))), Y), E), M), La)), La))), Y), E))"
35,0.4957,27,"add(div(sub(add(-2.358, Y), E), 5.529), add(div(sub(Ce, E), LAS), add(div(mul(add(EN, -5.096), sub(M, La)), sub(Gd, Y)), E)))"
36,0.5025,21,"add(div(div(sub(M, La), div(mul(sub(Gd, Sm), sub(6.280, LAS)), sub(Y, La))), add(-3.867, Y)), E)"
37,0.5045,31,"add(div(sub(M, La), add(La, sub(add(La, div(sub(La, add(div(sub(EN, E), La), E)), sub(Nd, LAS))), EN))), add(div(sub(Pr, E), LAS), E))"
38,0.5048,31,"add(div(sub(div(div(La, sub(Y, EN)), IE), sub(Y, Pr)), add(div(sub(M, La), add(Y, -3.477)), E)), add(div(sub(M, La), add(Y, -3.477)), E))"
39,0.5048,39,"add(div(div(mul(Sm, La), mul(mul(Nd, Y), sub(Y, EN))), Y), add(div(sub(M, Y), R), add(div(sub(Nd, La), 4.875), add(div(sub(M, Y), R), add(div(sub(Nd, La), LAS), E)))))"
40,0.5074,31,"add(div(sub(Gd, IE), sub(IE, div(EN, sub(Nd, Y)))), add(div(sub(EN, E), add(-3.724, R)), add(div(sub(EN, E), mul(sub(EN, Y), 4.313)), E)))"
41,0.5084,47,"add(div(sub(M, Sm), div(mul(div(add(La, LAS), Ce), Gd), Ce)), add(div(div(M, sub(div(add(Y, div(add(Y, div(add(Y, div(add(Y, IE), sub(EN, La))), sub(EN, La))), sub(EN, La))), sub(EN, La)), La)), Y), E))"
42,0.5085,29,"add(div(sub(Ce, LAS), Sm), add(div(div(sub(Gd, IE), sub(EN, Pr)), 5.334), add(div(sub(M, La), add(-2.795, La)), add(add(Nd, -6.690), E))))"
43,0.5095,22,"add(mul(sub(Gd, IE), mul(div(sub(Gd, div(div(neg(4.285), E), sub(EN, Sm))), La), sub(EN, IE))), E)"
44,0.5123,34,"add(div(sub(Ce, add(neg(Nd), add(IE, E))), add(div(sub(M, La), 3.487), E)), add(div(div(sub(LAS, Y), sub(EN, Nd)), 4.414), add(div(sub(M, La), 3.487), E)))"
45,0.5125,29,"add(div(sub(Nd, E), IE), add(div(sub(Ce, La), Sm), add(div(div(div(add(M, M), sub(La, Pr)), sub(Y, Gd)), sub(Y, 1.950)), E)))"
46,0.5141,63,"add(div(sub(Pr, La), add(div(div(div(La, Nd), sub(Y, EN)), Y), add(div(sub(M, Y), La), add(div(sub(Pr, La), La), add(div(sub(M, Y), R), E))))), add(div(div(div(La, Nd), sub(Y, EN)), Y), add(div(sub(M, Y), La), add(div(sub(Pr, La), La), add(div(sub(M, Y), R), E)))))"
47,0.5149,37,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.754)), IE), add(div(sub(M, Y), R), add(div(sub(Pr, La), LAS), add(div(sub(M, Y), R), add(div(sub(Pr, La), 4.718), E)))))"
48,0.5149,37,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.754)), IE), add(div(sub(M, Y), R), add(div(sub(Pr, La), LAS), add(div(sub(M, Y), R), add(div(sub(Pr, La), 4.718), E)))))"
49,0.5151,35,"add(div(sub(M, Y), R), add(div(sub(M, Y), La), add(div(div(div(La, Pr), sub(Y, EN)), Y), add(div(sub(Pr, La), La), add(div(sub(Pr, La), LAS), E)))))"
50,0.5167,43,"add(div(neg(div(div(neg(La), sub(EN, Y)), mul(div(neg(Pr), mul(La, M)), sub(mul(R, Nd), neg(-3.210))))), IE), add(div(sub(Nd, Y), 3.752), add(div(sub(M, La), 3.752), add(div(sub(M, La), La), E))))"
51,0.5173,35,"add(div(sub(M, La), add(La, div(div(6.822, sub(div(R, EN), div(E, R))), Gd))), add(div(sub(M, La), add(La, sub(4.044, M))), add(div(sub(R, E), LAS), E)))"
52,0.5177,27,"add(div(sub(Nd, La), add(-2.696, Y)), add(div(sub(Gd, IE), mul(5.124, sub(EN, Nd))), add(div(sub(Gd, IE), add(-3.488, LAS)), E)))"
53,0.5179,31,"add(div(sub(M, La), Y), add(div(neg(div(div(neg(La), sub(EN, Y)), -7.452)), IE), add(div(sub(Pr, IE), Sm), add(div(sub(M, La), 2.772), E))))"
54,0.5183,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.502)), IE), add(div(sub(Nd, IE), Sm), add(div(sub(M, La), Y), add(div(sub(M, La), 2.560), E))))"
55,0.5183,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.502)), IE), add(div(sub(Nd, IE), Sm), add(div(sub(M, La), Y), add(div(sub(M, La), 2.560), E))))"
56,0.5183,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.502)), IE), add(div(sub(Nd, IE), Sm), add(div(sub(M, La), Y), add(div(sub(M, La), 2.560), E))))"
57,0.5183,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.502)), IE), add(div(sub(Nd, IE), Sm), add(div(sub(M, La), Y), add(div(sub(M, La), 2.560), E))))"
58,0.5183,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.502)), IE), add(div(sub(Nd, IE), Sm), add(div(sub(M, La), Y), add(div(sub(M, La), 2.560), E))))"
59,0.5183,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.502)), IE), add(div(sub(Nd, IE), Sm), add(div(sub(M, La), Y), add(div(sub(M, La), 2.560), E))))"
60,0.5183,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.502)), IE), add(div(sub(Nd, IE), Sm), add(div(sub(M, La), Y), add(div(sub(M, La), 2.560), E))))"
61,0.5183,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.502)), IE), add(div(sub(Nd, IE), Sm), add(div(sub(M, La), Y), add(div(sub(M, La), 2.560), E))))"
62,0.5187,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.540)), IE), add(div(sub(Pr, IE), Sm), add(div(sub(M, La), 2.480), add(div(sub(M, La), R), E))))"
63,0.5187,31,"add(div(neg(div(div(neg(La), sub(EN, Y)), -7.540)), IE), add(div(sub(Pr, IE), Sm), add(div(sub(M, La), 2.480), add(div(sub(M, La), R), E))))"
64,0.5190,31,"add(div(sub(M, La), Y), add(div(neg(div(div(neg(La), sub(EN, Y)), -7.452)), IE), add(div(sub(Pr, IE), Sm), add(div(sub(M, La), 2.919), E))))"
65,0.5202,31,"add(div(sub(M, La), Y), add(div(neg(div(div(neg(La), sub(EN, Y)), -8.005)), IE), add(div(sub(Pr, IE), Sm), add(div(sub(M, La), 2.973), E))))"
