Rank 1, RMSE: 0.4528, Length: 23, Model Equation: add(div(add(add(sub(E, LAS), sub(EN, LAS)), sub(E, La)), mul(sub(Sm, add(IE, M)), sub(IE, La))), E)
Rank 2, RMSE: 0.4705, Length: 24, Model Equation: add(div(add(add(sub(R, LAS), sub(E, La)), sub(E, La)), mul(neg(sub(Gd, sub(Sm, Ce))), sub(IE, La))), E)
Rank 3, RMSE: 0.4708, Length: 20, Model Equation: add(div(sub(mul(E, div(mul(E, div(M, La)), La)), LAS), mul(neg(Nd), sub(IE, La))), E)
Rank 4, RMSE: 0.4818, Length: 21, Model Equation: add(div(sub(E, LAS), mul(sub(La, IE), 3.518)), add(div(sub(EN, La), mul(sub(La, IE), 8.200)), E))
Rank 5, RMSE: 0.5103, Length: 20, Model Equation: add(div(add(add(sub(E, LAS), sub(R, La)), sub(E, La)), mul(neg(Gd), sub(IE, La))), E)
Rank 6, RMSE: 0.5359, Length: 15, Model Equation: add(div(sub(E, add(sub(5.698, Ce), Y)), mul(sub(La, IE), Nd)), E)
Rank 7, RMSE: 0.5361, Length: 22, Model Equation: add(div(sub(add(E, sub(R, LAS)), Y), mul(neg(Ce), sub(IE, La))), add(-0.100, add(-0.100, add(-0.100, E))))
Rank 8, RMSE: 0.5402, Length: 23, Model Equation: add(-0.103, add(-0.103, add(div(sub(E, LAS), mul(add(Nd, Y), sub(R, add(div(sub(E, LAS), -4.391), E)))), E)))
Rank 9, RMSE: 0.5463, Length: 17, Model Equation: add(div(neg(-0.100), sub(Y, EN)), add(div(neg(-0.100), mul(M, sub(R, Y))), E))
Rank 10, RMSE: 0.5463, Length: 17, Model Equation: add(div(neg(-0.100), sub(Y, EN)), add(div(neg(-0.100), mul(M, sub(R, Y))), E))
Rank 11, RMSE: 0.5463, Length: 17, Model Equation: add(div(neg(-0.100), sub(Y, EN)), add(div(neg(-0.100), mul(M, sub(R, Y))), E))
Rank 12, RMSE: 0.5463, Length: 17, Model Equation: add(div(neg(-0.100), sub(Y, EN)), add(div(neg(-0.100), mul(M, sub(R, Y))), E))
Rank 13, RMSE: 0.5473, Length: 15, Model Equation: add(-0.101, add(div(sub(Sm, E), mul(add(La, LAS), sub(EN, Nd))), E))
Rank 14, RMSE: 0.5512, Length: 17, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(sub(LAS, sub(Ce, Nd)), LAS))), E)
Rank 15, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 16, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 17, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 18, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 19, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 20, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 21, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 22, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 23, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 24, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 25, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 26, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 27, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 28, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 29, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 30, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 31, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 32, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 33, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 34, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 35, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 36, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 37, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 38, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
Rank 39, RMSE: 0.5515, Length: 13, Model Equation: add(div(sub(E, Sm), mul(sub(Nd, EN), add(Sm, LAS))), E)
