Rank,RMSE,Length,Model Equation
1,0.5110,28,"sub(sub(E, LAS), neg(add(div(sub(La, add(E, 0.351)), div(mul(mul(sub(La, E), add(E, 0.351)), sub(R, Nd)), sub(La, Gd))), EN)))"
2,0.5110,28,"sub(sub(E, LAS), neg(add(div(sub(La, add(E, 0.351)), div(mul(mul(sub(La, E), add(E, 0.351)), sub(R, Nd)), sub(La, Gd))), EN)))"
3,0.5110,28,"sub(sub(E, LAS), neg(add(div(sub(La, add(E, 0.351)), div(mul(mul(sub(La, E), add(E, 0.351)), sub(R, Nd)), sub(La, Gd))), EN)))"
4,0.5429,22,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(mul(sub(-7.698, R), sub(E, R)), sub(La, Gd))), EN)))"
5,0.5504,34,"sub(sub(EN, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), E), Gd))), E)))"
6,0.5504,34,"sub(sub(EN, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), E), Gd))), E)))"
7,0.5504,34,"sub(sub(EN, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), E), Gd))), E)))"
8,0.5514,21,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(neg(4.334), sub(E, Nd)), sub(La, Gd))), EN)))"
9,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
10,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
11,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
12,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
13,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
14,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
15,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
16,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
17,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
18,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
19,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
20,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
21,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
22,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
23,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
24,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
25,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
26,0.5515,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(-3.987, sub(E, Nd)), sub(La, Gd))), EN)))"
27,0.5516,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(4.439, sub(Nd, E)), sub(La, Gd))), EN)))"
28,0.5516,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(4.439, sub(Nd, E)), sub(La, Gd))), EN)))"
29,0.5527,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(4.819, sub(Nd, E)), sub(La, Gd))), EN)))"
30,0.5535,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(Nd, sub(Nd, E)), sub(La, Gd))), EN)))"
31,0.5535,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(Nd, sub(Nd, E)), sub(La, Gd))), EN)))"
32,0.5535,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(Nd, sub(Nd, E)), sub(La, Gd))), EN)))"
33,0.5535,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(Nd, sub(Nd, E)), sub(La, Gd))), EN)))"
34,0.5535,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(Nd, sub(Nd, E)), sub(La, Gd))), EN)))"
35,0.5535,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(Nd, sub(Nd, E)), sub(La, Gd))), EN)))"
36,0.5535,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(Nd, sub(Nd, E)), sub(La, Gd))), EN)))"
37,0.5535,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(Nd, sub(Nd, E)), sub(La, Gd))), EN)))"
38,0.5535,20,"sub(sub(E, LAS), neg(add(div(sub(La, E), div(div(Nd, sub(Nd, E)), sub(La, Gd))), EN)))"
39,0.5547,21,"add(add(M, div(div(EN, Y), mul(La, sub(LAS, M)))), div(sub(7.296, Y), mul(Nd, sub(E, Sm))))"
