Rank,RMSE,Length,Model Equation
1,0.5277,25,"add(div(E, sub(EN, div(div(add(LAS, div(div(La, sub(R, IE)), sub(R, IE))), mul(sub(R, La), EN)), Gd))), EN)"
2,0.5296,25,"add(div(E, sub(EN, div(div(add(div(La, sub(R, IE)), div(La, sub(R, IE))), mul(sub(R, Pr), EN)), Ce))), EN)"
3,0.5296,25,"add(div(E, sub(EN, div(div(add(div(La, sub(R, IE)), div(La, sub(R, IE))), mul(sub(R, La), EN)), Ce))), EN)"
4,0.5359,25,"add(div(E, sub(LAS, div(div(add(div(La, sub(R, IE)), div(Y, sub(R, IE))), mul(sub(R, La), Gd)), Gd))), EN)"
5,0.5566,17,"add(div(E, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, Ce), Nd))), EN)"
6,0.5594,23,"sub(div(E, add(LAS, div(div(add(div(LAS, div(Gd, Pr)), Y), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
7,0.5594,23,"sub(div(E, add(LAS, div(div(add(add(div(EN, EN), Y), Y), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
8,0.5595,23,"sub(div(E, add(LAS, div(div(add(div(LAS, div(Gd, Pr)), 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
9,0.5596,19,"sub(div(E, add(LAS, div(div(add(Y, Y), mul(sub(R, La), neg(Gd))), Gd))), neg(EN))"
10,0.5596,19,"sub(div(E, add(LAS, div(div(add(Y, Y), mul(sub(R, La), neg(Gd))), Gd))), neg(EN))"
11,0.5596,18,"sub(div(E, sub(LAS, div(div(add(Y, Y), mul(sub(R, La), Gd)), Gd))), neg(EN))"
12,0.5596,19,"sub(div(E, add(LAS, div(div(add(Y, Y), mul(sub(R, La), neg(Gd))), Gd))), neg(EN))"
13,0.5596,18,"sub(div(E, sub(LAS, div(div(add(Y, Y), mul(sub(R, La), Gd)), Gd))), neg(EN))"
14,0.5596,19,"sub(div(E, add(LAS, div(div(add(Y, Y), mul(sub(R, La), neg(Gd))), Gd))), neg(EN))"
15,0.5596,18,"sub(div(E, sub(LAS, div(div(add(Y, Y), mul(sub(R, La), Gd)), Gd))), neg(EN))"
16,0.5596,19,"sub(div(E, add(LAS, div(div(add(Y, Y), mul(sub(R, La), neg(Gd))), Gd))), neg(EN))"
17,0.5596,19,"sub(div(E, add(LAS, div(div(add(Y, Y), mul(sub(R, La), neg(Gd))), Gd))), neg(EN))"
18,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
19,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
20,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
21,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
22,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
23,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
24,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
25,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
26,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
27,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
28,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
29,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
30,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
31,0.5597,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), mul(div(EN, E), Nd))), EN)"
32,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
33,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
34,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
35,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
36,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
37,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
38,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, Pr), neg(Gd))), M))), neg(EN))"
39,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
40,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
41,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
42,0.5600,19,"sub(div(E, add(LAS, div(div(add(7.274, Y), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
43,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 7.012), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
44,0.5600,18,"add(div(E, add(LAS, div(div(sub(Y, -6.973), mul(sub(R, La), neg(Gd))), M))), EN)"
45,0.5600,19,"sub(div(E, add(LAS, div(div(add(6.872, Y), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
46,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 6.863), mul(sub(R, La), neg(M))), Gd))), neg(EN))"
47,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 6.863), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
48,0.5600,19,"sub(div(E, add(LAS, div(div(add(Y, 6.863), mul(sub(R, La), neg(M))), Gd))), neg(EN))"
49,0.5600,19,"sub(div(E, add(LAS, div(div(add(6.855, Y), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
50,0.5601,17,"add(div(E, sub(LAS, div(div(add(Y, 6.815), mul(sub(R, Pr), Gd)), M))), EN)"
51,0.5601,19,"sub(div(E, add(LAS, div(div(add(6.802, Y), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
52,0.5601,18,"sub(div(E, sub(LAS, div(div(add(Y, R), mul(sub(R, Pr), M)), Gd))), neg(EN))"
53,0.5601,17,"add(div(E, sub(LAS, div(div(add(R, Y), mul(sub(R, Pr), M)), Gd))), EN)"
54,0.5601,19,"sub(div(E, add(LAS, div(div(add(Y, R), mul(sub(R, La), neg(M))), Gd))), neg(EN))"
55,0.5601,17,"add(div(E, sub(LAS, div(div(add(Y, R), mul(sub(R, Pr), Gd)), M))), EN)"
56,0.5601,19,"sub(div(E, add(LAS, div(div(add(Y, R), mul(sub(R, La), neg(Gd))), M))), neg(EN))"
57,0.5601,18,"add(div(E, add(LAS, div(div(add(Y, R), mul(sub(R, La), neg(Gd))), M))), EN)"
58,0.5601,17,"add(div(E, sub(LAS, div(div(add(Y, R), mul(sub(R, Pr), Gd)), M))), EN)"
59,0.5601,17,"add(div(E, sub(LAS, div(div(add(Y, R), mul(sub(R, Pr), Gd)), M))), EN)"
60,0.5601,17,"add(div(E, sub(LAS, div(div(add(Y, R), mul(sub(R, Pr), Gd)), M))), EN)"
61,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
62,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
63,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
64,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
65,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
66,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
67,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
68,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
69,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
70,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
71,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
72,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
73,0.5603,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(EN, E), Nd))), EN)"
74,0.5604,30,"sub(div(E, add(LAS, div(div(add(add(LAS, div(div(add(Y, Y), mul(sub(R, La), -5.568)), Gd)), Y), mul(sub(R, La), -5.568)), Gd))), neg(EN))"
75,0.5604,30,"sub(div(E, add(LAS, div(div(add(add(LAS, div(div(add(Y, Y), mul(sub(R, La), -5.568)), Gd)), Y), mul(sub(R, La), -5.568)), Gd))), neg(EN))"
76,0.5604,30,"sub(div(E, add(LAS, div(div(add(add(LAS, div(div(add(Y, Y), mul(sub(R, La), -5.568)), Gd)), Y), mul(sub(R, La), -5.568)), Gd))), neg(EN))"
77,0.5604,30,"sub(div(E, add(LAS, div(div(add(Y, add(LAS, div(div(add(Y, Y), mul(sub(R, La), -5.568)), Gd))), mul(sub(R, La), -5.568)), Gd))), neg(EN))"
78,0.5604,30,"sub(div(E, add(LAS, div(div(add(Y, add(LAS, div(div(add(Y, Y), mul(sub(R, La), -5.568)), Gd))), mul(sub(R, La), -5.568)), Gd))), neg(EN))"
79,0.5604,30,"sub(div(E, add(LAS, div(div(add(Y, add(LAS, div(div(add(Y, Y), mul(sub(R, La), -5.568)), Gd))), mul(sub(R, La), -5.568)), Gd))), neg(EN))"
80,0.5609,19,"sub(div(E, add(LAS, div(div(add(Y, Nd), mul(sub(R, Pr), neg(EN))), M))), neg(EN))"
81,0.5609,19,"sub(div(E, add(LAS, div(div(add(Y, Nd), mul(sub(R, Pr), neg(EN))), M))), neg(EN))"
82,0.5627,35,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), -5.867)), sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), -5.867)), M))), neg(EN))))), neg(EN))"
83,0.5627,35,"sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), -5.867)), sub(div(E, add(LAS, div(div(add(Y, 7.104), mul(sub(R, La), -5.867)), M))), neg(EN))))), neg(EN))"
84,0.5692,15,"add(div(E, add(LAS, div(div(8.941, mul(sub(R, Pr), -5.360)), Gd))), EN)"
85,0.5692,15,"add(div(E, add(LAS, div(div(8.941, mul(sub(R, Pr), -5.360)), Gd))), EN)"
86,0.5692,15,"add(div(E, add(LAS, div(div(8.941, mul(sub(R, Pr), -5.360)), Gd))), EN)"
87,0.5692,15,"add(div(E, add(LAS, div(div(8.941, mul(sub(R, Pr), -5.360)), Gd))), EN)"
88,0.5774,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(Sm, M), Nd))), EN)"
89,0.5774,17,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), add(sub(Sm, M), Nd))), EN)"
90,0.5836,20,"add(div(sub(M, EN), EN), add(neg(div(sub(Y, M), mul(mul(Ce, Ce), sub(Y, R)))), E))"
91,0.5836,20,"add(neg(div(sub(Y, M), mul(mul(Ce, Ce), sub(Y, R)))), add(div(sub(M, EN), EN), E))"
92,0.5842,20,"add(div(sub(M, EN), EN), add(neg(div(sub(La, M), mul(mul(Gd, Ce), sub(Y, R)))), E))"
93,0.5870,20,"add(neg(div(sub(R, M), mul(mul(Gd, Gd), sub(Y, R)))), add(div(sub(M, EN), LAS), E))"
94,0.5969,16,"add(div(Ce, add(div(sub(EN, Pr), neg(mul(M, sub(La, R)))), 4.595)), EN)"
95,0.5969,16,"add(div(Ce, add(div(sub(EN, Pr), neg(mul(M, sub(La, R)))), 4.595)), EN)"
96,0.5969,16,"add(div(Ce, add(div(sub(EN, Pr), neg(mul(M, sub(La, R)))), 4.595)), EN)"
97,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
98,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
99,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
100,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
101,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
102,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
103,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
104,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
105,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
106,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
107,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
108,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
109,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
110,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
111,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
112,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
113,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
114,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
115,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
116,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
117,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
118,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
119,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
120,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
121,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
122,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
123,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
124,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
125,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
126,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
127,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
128,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
129,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
130,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
131,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
132,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
133,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
134,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
135,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
136,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
137,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
138,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
139,0.5993,13,"add(div(Ce, add(div(sub(EN, IE), sub(IE, R)), EN)), EN)"
