Rank,RMSE,Length,Model Equation
1,0.6198,19,"add(div(sub(Pr, LAS), 3.357), add(div(sub(Nd, 4.782), mul(sub(R, Y), mul(IE, 3.052))), E))"
2,0.6199,23,"add(div(sub(sub(mul(div(EN, IE), sub(Pr, Y)), sub(E, M)), div(sub(LAS, Y), sub(Pr, EN))), 4.507), E)"
3,0.6706,21,"add(div(sub(M, E), 4.133), add(div(div(M, La), add(LAS, div(Ce, mul(sub(Sm, EN), E)))), E))"
4,0.7407,21,"add(div(sub(Pr, E), E), add(div(sub(M, sub(Y, sub(EN, LAS))), sub(Y, sub(EN, LAS))), E))"
5,0.7424,17,"add(div(sub(div(M, div(La, M)), LAS), IE), add(div(sub(Pr, E), M), E))"
6,0.7434,17,"add(div(sub(mul(EN, div(M, LAS)), Y), Y), add(div(sub(Pr, E), E), E))"
7,0.7441,23,"add(div(sub(M, LAS), La), add(div(sub(Pr, add(La, sub(E, M))), neg(add(div(3.547, R), neg(LAS)))), E))"
8,0.7444,20,"add(div(neg(sub(La, M)), Y), add(div(sub(M, E), La), add(div(sub(Pr, LAS), E), E)))"
9,0.7452,20,"add(div(sub(M, LAS), La), add(div(neg(sub(E, M)), LAS), add(div(sub(Pr, La), E), E)))"
10,0.7459,18,"add(div(neg(sub(add(sub(La, M), E), M)), La), add(div(sub(Pr, LAS), E), E))"
11,0.7459,18,"add(div(neg(sub(add(sub(La, M), E), M)), La), add(div(sub(Pr, LAS), E), E))"
12,0.7460,15,"add(div(sub(div(div(M, 0.141), La), mul(div(E, M), E)), LAS), E)"
13,0.7461,18,"add(div(sub(M, E), La), add(div(neg(sub(sub(LAS, Pr), sub(M, La))), LAS), E))"
14,0.7462,17,"add(div(sub(Pr, Y), La), add(div(sub(div(M, div(LAS, EN)), E), LAS), E))"
15,0.7464,13,"add(sub(div(R, sub(La, sub(Pr, Y))), div(E, Gd)), E)"
16,0.7467,18,"add(div(sub(Pr, sub(sub(La, M), neg(LAS))), La), add(div(sub(M, E), 4.616), E))"
17,0.7474,17,"add(div(sub(Pr, mul(div(La, M), E)), 4.431), add(div(sub(M, LAS), La), E))"
18,0.7476,17,"add(div(sub(M, Y), La), add(div(sub(Pr, sub(LAS, sub(EN, E))), 3.690), E))"
19,0.7477,15,"add(sub(div(Nd, La), div(LAS, 6.744)), add(div(sub(M, E), 2.712), E))"
20,0.7478,21,"add(div(sub(Pr, E), E), add(div(sub(add(EN, sub(add(EN, sub(M, LAS)), LAS)), Y), Y), E))"
21,0.7478,17,"add(div(sub(sub(Ce, Y), sub(La, Pr)), Y), add(div(sub(M, E), 3.736), E))"
22,0.7482,17,"add(div(sub(M, E), LAS), add(div(sub(div(7.206, div(Y, EN)), E), LAS), E))"
23,0.7494,15,"add(div(add(sub(Pr, LAS), add(sub(M, La), sub(M, E))), La), E)"
24,0.7494,15,"add(div(sub(sub(Pr, E), sub(add(sub(LAS, M), La), M)), La), E)"
25,0.7494,15,"add(div(sub(add(M, Pr), add(E, add(sub(LAS, M), La))), La), E)"
26,0.7494,15,"add(div(add(add(sub(M, LAS), sub(M, E)), sub(Pr, La)), La), E)"
