Rank,RMSE,Length,Model Equation
1,0.6916,25,"mul(0.482, add(add(M, E), div(Nd, neg(add(neg(IE), div(div(mul(mul(Sm, Sm), div(0.866, Sm)), Gd), sub(EN, Nd)))))))"
2,0.6927,24,"mul(0.482, add(add(div(E, sub(div(sub(Gd, add(Y, -0.078)), sub(R, Pr)), sub(neg(Y), sub(M, Nd)))), EN), R))"
3,0.7655,23,"mul(0.482, add(M, add(Nd, div(5.053, sub(div(sub(Y, -7.945), div(LAS, M)), add(sub(Sm, Y), add(La, La)))))))"
4,0.7779,15,"mul(0.482, add(sub(E, div(Y, mul(add(Gd, Gd), sub(IE, La)))), 7.462))"
5,0.7834,17,"sub(div(-3.121, div(Gd, div(add(sub(LAS, R), div(R, Gd)), sub(Y, R)))), -6.906)"
6,0.7835,17,"mul(0.482, add(M, add(div(sub(EN, Gd), sub(La, Sm)), add(div(Nd, Gd), E))))"
7,0.7994,35,"add(neg(-5.979), div(LAS, mul(sub(Pr, Nd), mul(sub(Y, Sm), mul(add(neg(-5.979), div(LAS, mul(sub(Pr, Nd), mul(sub(Y, Sm), mul(Sm, sub(6.182, Ce)))))), sub(6.182, Ce))))))"
8,0.8120,13,"add(6.562, div(sub(E, 6.137), sub(mul(LAS, Nd), mul(M, Nd))))"
9,0.8276,35,"sub(div(sub(4.604, Ce), add(div(div(neg(Y), div(sub(div(sub(4.604, Ce), add(div(div(neg(Y), div(Nd, 4.702)), sub(Ce, Sm)), Nd)), -7.201), 4.702)), sub(Ce, Sm)), Nd)), -7.201)"
10,0.8391,13,"mul(0.482, add(add(div(sub(E, LAS), sub(E, Sm)), EN), R))"
11,0.8391,15,"mul(0.482, add(sub(neg(div(sub(E, LAS), sub(Sm, E))), neg(EN)), R))"
12,0.8391,13,"mul(0.482, add(add(div(sub(LAS, E), sub(Sm, E)), EN), R))"
13,0.8423,16,"sub(7.486, div(Y, add(add(sub(Gd, IE), E), div(neg(0.350), sub(IE, Pr)))))"
14,0.8427,13,"sub(div(sub(Sm, Gd), sub(mul(La, IE), mul(Gd, Y))), -6.869)"
15,0.8668,12,"add(sub(EN, -0.851), mul(div(E, neg(Gd)), sub(Pr, R)))"
16,0.8689,21,"mul(0.482, add(E, add(add(M, div(sub(Sm, Nd), sub(La, Nd))), div(sub(Sm, Nd), sub(La, Nd)))))"
17,0.8713,13,"mul(0.482, add(Nd, add(div(sub(Ce, Gd), sub(R, La)), Gd)))"
