Rank,RMSE,Length,Model Equation
1,0.4383,37,"mul(0.482, add(M, add(div(M, mul(add(mul(sub(M, LAS), neg(M)), M), 5.517)), add(div(Nd, mul(IE, sub(Sm, La))), add(div(Gd, mul(EN, mul(sub(EN, Nd), neg(EN)))), E)))))"
2,0.5517,41,"mul(0.482, add(add(M, div(div(mul(0.482, add(add(M, div(div(Nd, sub(5.958, mul(La, div(sub(EN, R), sub(Nd, Gd))))), Pr)), E)), sub(5.958, mul(La, div(sub(EN, R), sub(Nd, Pr))))), La)), E))"
3,0.5554,25,"add(div(sub(R, div(mul(IE, Sm), mul(div(mul(add(EN, E), sub(Gd, R)), div(sub(La, Nd), Pr)), E))), Nd), EN)"
4,0.6372,25,"mul(0.482, add(M, add(mul(EN, div(sub(Nd, add(Nd, sub(La, EN))), mul(Y, div(add(Ce, Y), sub(Nd, Pr))))), E)))"
5,0.6390,31,"div(add(add(EN, mul(sub(EN, La), add(div(add(EN, mul(sub(EN, La), add(div(7.948, LAS), sub(Nd, Gd)))), LAS), sub(Nd, Gd)))), add(M, E)), 3.052)"
6,0.6525,47,"sub(div(add(sub(Nd, La), add(sub(sub(div(add(sub(Nd, La), add(sub(EN, Y), div(sub(M, R), sub(E, Y)))), La), sub(div(Y, E), neg(-7.230))), Y), div(sub(M, R), sub(E, Y)))), La), sub(div(Y, E), neg(-7.230)))"
7,0.6597,25,"mul(0.482, add(add(5.437, div(EN, sub(La, div(Nd, div(5.437, div(Nd, div(Ce, sub(E, div(La, div(M, La)))))))))), R))"
8,0.6936,27,"mul(0.482, add(add(mul(0.482, add(add(EN, div(div(Nd, Pr), neg(sub(EN, 7.296)))), R)), div(div(Nd, Pr), neg(sub(EN, 7.296)))), R))"
9,0.7063,13,"add(neg(-6.228), div(neg(div(sub(Ce, EN), sub(Sm, EN))), -7.608))"
10,0.7099,18,"add(add(EN, div(sub(IE, La), sub(2.527, add(Nd, sub(E, EN))))), div(-3.210, neg(LAS)))"
11,0.7165,19,"add(sub(EN, div(mul(sub(Sm, E), sub(La, Pr)), -3.553)), div(sub(M, EN), mul(0.289, Nd)))"
