Rank,RMSE,Length,Model Equation
1,0.4799,73,"add(div(add(div(sub(Gd, add(sub(E, Nd), add(div(div(Y, Sm), sub(Gd, E)), E))), sub(Ce, E)), add(sub(add(div(add(div(sub(Gd, add(sub(E, Nd), add(div(div(Y, Sm), sub(Gd, E)), E))), sub(Ce, E)), add(sub(E, Sm), add(div(div(Y, Nd), sub(Gd, E)), Ce))), Gd), EN), Sm), add(div(div(Y, Nd), sub(Gd, E)), Ce))), Gd), EN)"
2,0.4912,26,"add(div(sub(sub(Ce, div(sub(sub(Ce, div(sub(7.002, Gd), neg(sub(E, 6.655)))), 6.845), sub(IE, Pr))), sub(E, Ce)), Gd), EN)"
3,0.5145,25,"add(div(sub(sub(sub(Ce, div(sub(Gd, Pr), sub(E, 6.658))), div(sub(Gd, Sm), sub(E, 6.658))), sub(E, Ce)), Nd), EN)"
4,0.5186,25,"add(div(add(div(sub(Sm, Gd), sub(E, 6.489)), add(sub(add(div(sub(6.489, Gd), sub(E, Pr)), Ce), E), Ce)), Gd), EN)"
5,0.5206,25,"add(div(add(add(add(R, div(sub(E, Gd), sub(E, La))), div(sub(Sm, Gd), sub(E, 6.594))), sub(Ce, 8.430)), LAS), EN)"
6,0.5339,29,"add(div(add(sub(add(sub(add(div(sub(La, Gd), sub(E, Pr)), Ce), E), Ce), E), add(div(sub(Sm, Gd), sub(E, La)), Ce)), Gd), EN)"
7,0.5364,29,"add(div(sub(sub(sub(Ce, div(sub(Gd, 6.218), sub(E, La))), div(sub(Gd, 6.218), sub(E, La))), div(sub(Gd, Sm), sub(E, La))), LAS), EN)"
8,0.5381,25,"add(div(add(Ce, sub(sub(sub(Ce, E), div(sub(Gd, La), sub(E, La))), div(sub(Gd, Sm), sub(E, La)))), Gd), EN)"
9,0.6109,25,"add(div(sub(Ce, sub(6.913, sub(Ce, mul(sub(E, Gd), sub(Pr, sub(Ce, div(sub(Pr, Gd), sub(La, E)))))))), Gd), EN)"
10,0.6217,53,"add(div(add(sub(E, LAS), mul(div(E, Gd), mul(div(E, EN), add(div(1.846, sub(Gd, E)), sub(add(Ce, add(div(add(sub(E, LAS), mul(div(E, Gd), mul(div(E, LAS), add(div(1.846, sub(Gd, E)), sub(add(Ce, E), La))))), Gd), EN)), La))))), Gd), EN)"
11,0.6487,21,"add(div(add(Ce, div(neg(-3.782), add(neg(add(Nd, Pr)), mul(add(Gd, Y), sub(Ce, M))))), LAS), EN)"
12,0.6549,21,"add(div(Ce, add(div(div(add(Y, Y), sub(La, R)), mul(Ce, Ce)), add(sub(Gd, E), Gd))), EN)"
13,0.6596,23,"add(div(Ce, mul(4.966, mul(M, sub(Ce, IE)))), add(div(Sm, mul(8.725, mul(Gd, sub(sub(EN, -0.851), IE)))), E))"
14,0.6616,21,"add(div(add(add(Ce, div(sub(LAS, E), sub(Nd, IE))), div(sub(LAS, E), sub(IE, Y))), LAS), EN)"
15,0.6640,21,"add(div(Ce, sub(Gd, sub(E, sub(Gd, div(neg(div(Nd, EN)), mul(sub(R, La), neg(3.578))))))), EN)"
16,0.6658,17,"add(div(Ce, add(add(sub(Gd, Ce), div(sub(E, Ce), sub(La, R))), Gd)), EN)"
17,0.6695,18,"add(div(Ce, add(sub(add(neg(div(div(0.861, 2.946), sub(R, La))), Gd), E), Gd)), EN)"
18,0.6750,13,"add(div(Ce, sub(LAS, div(sub(Gd, 6.280), sub(La, E)))), EN)"
19,0.6895,13,"add(div(Ce, add(div(sub(IE, Y), sub(R, La)), Gd)), EN)"
20,0.6895,13,"add(div(Ce, add(div(sub(IE, Y), sub(R, La)), Gd)), EN)"
21,0.6895,13,"add(div(Ce, add(div(sub(IE, Y), sub(R, La)), Gd)), EN)"
22,0.6895,13,"add(div(Ce, add(div(sub(Y, IE), sub(La, R)), Gd)), EN)"
23,0.6909,22,"add(div(add(add(Ce, neg(div(sub(div(Nd, LAS), add(-3.863, M)), sub(LAS, M)))), sub(Ce, Y)), Gd), EN)"
24,0.7002,17,"add(div(sub(R, div(E, sub(mul(add(2.313, Gd), div(Gd, Ce)), Ce))), 7.219), EN)"
25,0.7016,17,"add(EN, div(Ce, add(div(sub(Gd, E), add(sub(La, IE), sub(M, LAS))), LAS)))"
26,0.7028,17,"add(div(add(div(div(Y, Sm), sub(add(Sm, E), add(6.545, M))), Ce), LAS), EN)"
27,0.7114,21,"add(div(Ce, add(sub(Gd, E), add(div(sub(R, EN), sub(R, IE)), add(sub(EN, E), Gd)))), EN)"
28,0.7137,18,"add(div(add(Ce, neg(div(div(sub(E, Nd), sub(EN, Pr)), sub(LAS, M)))), LAS), EN)"
29,0.7170,11,"add(div(M, add(div(E, sub(Gd, Ce)), R)), EN)"
30,0.7178,14,"add(div(Ce, sub(div(div(EN, Gd), sub(Y, R)), neg(Sm))), EN)"
31,0.7249,17,"add(div(add(add(Ce, div(sub(E, LAS), sub(R, IE))), sub(Ce, LAS)), M), EN)"
32,0.7300,13,"add(div(add(div(sub(Gd, IE), sub(Y, R)), Ce), 4.874), EN)"
33,0.7307,35,"add(div(add(mul(sub(Gd, add(mul(sub(LAS, E), sub(Gd, E)), mul(sub(Gd, add(mul(sub(LAS, E), sub(Gd, E)), EN)), sub(Gd, E)))), sub(Gd, E)), Ce), Gd), EN)"
34,0.7333,15,"add(div(Ce, add(div(add(-4.969, E), sub(add(-0.252, IE), Ce)), Gd)), EN)"
35,0.7354,17,"add(div(add(add(E, sub(Ce, Sm)), div(sub(E, EN), sub(Ce, IE))), Gd), EN)"
36,0.7399,21,"add(div(Ce, sub(E, div(sub(E, Gd), div(sub(Pr, div(sub(E, Gd), div(2.820, Ce))), Ce)))), EN)"
37,0.7442,25,"add(div(add(div(div(Sm, add(div(add(div(div(Sm, Nd), sub(LAS, M)), Ce), Y), EN)), sub(LAS, M)), Ce), Y), EN)"
38,0.7513,17,"add(div(add(div(sub(LAS, E), sub(IE, R)), Ce), sub(M, div(Ce, EN))), EN)"
39,0.7558,13,"add(div(sub(Ce, div(sub(7.106, M), sub(IE, Ce))), Gd), EN)"
