Rank,RMSE,Length,Model Equation
1,0.4348,38,"add(div(sub(M, Ce), mul(8.005, sub(EN, Nd))), add(div(sub(Nd, LAS), add(mul(add(Y, Nd), sub(EN, Y)), neg(EN))), add(div(sub(Nd, LAS), 3.709), add(div(sub(M, E), E), E))))"
2,0.4656,47,"add(div(sub(Nd, E), LAS), add(div(neg(sub(sub(LAS, EN), sub(Ce, Sm))), LAS), add(mul(add(-6.419, IE), div(neg(div(Pr, Sm)), mul(sub(Y, R), neg(4.876)))), add(div(div(Y, neg(Pr)), sub(mul(M, Pr), mul(E, La))), E))))"
3,0.4914,34,"mul(0.482, add(M, add(div(add(add(Ce, div(add(Gd, EN), neg(sub(mul(La, M), mul(E, Nd))))), div(div(Ce, mul(E, sub(LAS, E))), sub(EN, Y))), R), E)))"
4,0.5581,25,"add(div(sub(Ce, E), 2.835), add(div(sub(Gd, Y), 2.573), add(div(sub(Gd, Y), sub(Ce, add(sub(Pr, Sm), La))), E)))"
5,0.5656,28,"add(div(add(neg(div(sub(M, Ce), sub(Nd, EN))), add(add(mul(sub(M, E), sub(Pr, E)), sub(Ce, IE)), sub(Ce, La))), EN), E)"
6,0.5676,38,"add(div(div(div(div(sub(R, La), div(EN, Gd)), div(E, Gd)), div(EN, Gd)), div(E, Gd)), add(div(sub(5.323, E), neg(add(mul(sub(EN, Pr), add(Gd, LAS)), sub(La, Nd)))), E))"
7,0.5687,35,"add(div(div(div(sub(sub(sub(sub(EN, LAS), mul(sub(La, EN), sub(Gd, Ce))), mul(sub(Nd, EN), sub(Gd, Ce))), sub(E, M)), div(La, 8.203)), div(La, M)), La), E)"
8,0.5765,46,"sub(add(mul(sub(EN, Gd), div(3.950, Nd)), E), sub(sub(sub(neg(sub(Gd, IE)), div(sub(EN, E), mul(neg(Y), sub(Y, EN)))), div(sub(EN, E), mul(add(neg(IE), sub(E, IE)), sub(Pr, EN)))), div(sub(Y, E), 2.912)))"
9,0.5864,25,"add(div(Ce, mul(mul(LAS, LAS), sub(R, Y))), add(div(sub(Ce, E), div(4.603, sub(add(sub(Pr, Sm), M), Y))), E))"
10,0.5885,27,"add(div(sub(Pr, LAS), mul(sub(Y, R), -4.561)), add(div(sub(Ce, E), div(Y, sub(sub(mul(div(Gd, Sm), R), -1.124), Y))), E))"
11,0.5888,28,"add(div(sub(M, add(neg(add(sub(Ce, E), add(sub(R, La), div(sub(Y, LAS), sub(Nd, EN))))), E)), sub(Y, div(Nd, La))), E)"
12,0.5940,53,"add(div(mul(div(8.581, La), mul(div(add(div(mul(div(8.581, La), mul(div(8.581, La), add(sub(M, La), add(sub(Ce, E), mul(sub(Gd, Ce), sub(Sm, La)))))), La), E), La), add(sub(M, La), add(sub(Ce, E), mul(sub(Gd, Ce), sub(Sm, La)))))), La), E)"
13,0.5989,21,"mul(0.482, add(add(Ce, div(Pr, add(div(div(Nd, IE), sub(Sm, M)), add(sub(R, EN), Y)))), E))"
14,0.5993,23,"add(div(add(add(div(sub(Ce, M), sub(Pr, EN)), mul(sub(Pr, Y), sub(Nd, E))), sub(Ce, La)), E), E)"
15,0.6007,20,"add(mul(0.482, add(Ce, E)), div(EN, sub(La, add(div(sub(LAS, La), sub(EN, Pr)), neg(IE)))))"
16,0.6030,39,"add(div(mul(sub(R, EN), sub(Y, IE)), sub(Y, sub(5.229, div(R, add(div(neg(sub(Y, 2.994)), Gd), E))))), add(div(sub(Nd, La), div(Y, 3.060)), add(div(neg(sub(Y, 2.994)), Gd), E)))"
