Rank,RMSE,Length,Model Equation
1,0.3769,45,"add(div(Ce, mul(mul(sub(Pr, EN), Gd), add(mul(Gd, Gd), E))), add(div(sub(Pr, EN), mul(sub(Gd, E), E)), add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Gd, E), mul(sub(La, E), E)), E))))"
2,0.3786,47,"add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Ce, E), add(div(sub(Gd, E), mul(sub(La, E), Y)), E)), add(div(sub(Pr, EN), mul(sub(Gd, E), E)), add(div(sub(Gd, E), mul(sub(La, E), Y)), E))))"
3,0.4006,35,"add(div(div(sub(Ce, M), sub(Pr, EN)), IE), add(div(div(div(E, Gd), add(Ce, -6.307)), IE), add(div(div(sub(E, Gd), add(E, -6.307)), Gd), add(add(Sm, -6.783), E))))"
4,0.4033,51,"add(div(sub(Pr, E), add(sub(LAS, Pr), add(div(add(div(La, sub(E, M)), EN), mul(sub(R, Y), mul(E, Gd))), E))), add(div(add(div(La, sub(E, M)), EN), mul(sub(R, Y), mul(add(div(R, mul(Pr, sub(LAS, Pr))), Sm), Gd))), E))"
5,0.4088,59,"add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Gd, E), mul(sub(La, E), LAS)), add(div(div(div(add(div(sub(La, E), sub(Pr, E)), E), E), mul(sub(La, E), E)), add(div(sub(Gd, E), mul(Gd, Gd)), E)), add(div(sub(Sm, EN), mul(sub(Gd, E), La)), E))))"
6,0.4089,45,"add(div(E, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Gd, add(div(div(Ce, mul(sub(R, LAS), mul(Gd, Gd))), mul(R, Gd)), E)), mul(sub(La, E), Y)), add(div(sub(Pr, EN), mul(sub(Gd, E), IE)), E)))"
7,0.4142,37,"add(div(sub(Pr, E), Nd), add(div(div(sub(Pr, EN), Nd), sub(Gd, E)), add(add(div(Ce, mul(sub(R, Y), mul(M, Gd))), E), div(div(sub(Gd, La), IE), sub(La, E)))))"
8,0.4164,31,"add(add(add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), E), div(div(sub(Gd, E), IE), sub(La, E))), div(div(sub(Pr, EN), E), sub(Gd, E)))"
9,0.4285,30,"add(div(add(add(sub(Ce, IE), div(div(Ce, neg(mul(sub(E, Ce), sub(-3.749, 4.641)))), sub(R, Y))), div(sub(Sm, Gd), sub(Gd, E))), Gd), E)"
10,0.4295,34,"add(div(sub(Pr, E), mul(sub(Gd, E), Nd)), add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Gd, neg(mul(-0.976, La))), mul(sub(La, E), Gd)), E)))"
11,0.4333,41,"add(div(Ce, mul(sub(R, Y), mul(add(div(div(sub(Pr, E), sub(Nd, E)), E), E), Gd))), add(div(sub(Pr, EN), mul(sub(Gd, E), E)), add(div(sub(Gd, E), mul(sub(La, E), IE)), E)))"
12,0.4357,43,"add(div(div(Ce, add(div(sub(div(E, EN), E), mul(sub(Nd, E), Y)), E)), mul(sub(Gd, E), E)), add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Gd, E), mul(sub(La, E), Gd)), E)))"
