Rank,RMSE,Length,Model Equation
1,0.5554,31,"add(div(sub(Sm, E), mul(add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E), sub(5.348, E))), add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E))"
2,0.5591,21,"add(div(div(div(Ce, Gd), sub(R, Y)), Gd), add(div(div(sub(Pr, E), sub(Nd, E)), Nd), E))"
3,0.5692,21,"add(div(sub(Pr, E), E), add(div(div(div(div(Ce, 5.267), sub(Y, R)), sub(R, 7.417)), 5.267), E))"
4,0.5749,29,"add(neg(div(div(sub(Pr, E), neg(3.028)), sub(EN, Sm))), add(div(sub(Sm, La), 2.576), add(div(sub(div(M, E), sub(E, Ce)), 2.576), E)))"
5,0.5799,39,"add(div(sub(Sm, E), add(Nd, sub(add(div(div(Y, sub(Pr, Nd)), mul(add(Ce, Ce), sub(R, Y))), E), Sm))), add(div(div(Y, sub(Pr, Nd)), mul(add(Ce, Ce), sub(R, Y))), E))"
6,0.5833,28,"add(div(sub(Sm, E), add(Nd, sub(E, Pr))), add(div(div(neg(mul(Ce, Ce)), sub(neg(R), neg(Y))), mul(Gd, mul(Gd, 5.158))), E))"
7,0.5865,27,"add(div(sub(Sm, E), E), add(div(div(div(-1.475, add(sub(Ce, neg(-5.026)), add(sub(Ce, Gd), neg(Gd)))), sub(R, Y)), 1.710), E))"
8,0.5880,29,"add(div(sub(M, Y), La), add(div(add(sub(Gd, R), sub(LAS, Ce)), sub(mul(Nd, 5.474), mul(R, Gd))), add(div(sub(Sm, E), E), E)))"
9,0.5933,23,"add(div(sub(Sm, LAS), 3.342), add(div(sub(Pr, La), E), add(div(div(sub(Y, LAS), sub(Sm, EN)), 3.991), E)))"
10,0.5936,23,"add(div(sub(LAS, Y), mul(sub(EN, Pr), 3.853)), add(div(sub(Pr, LAS), 3.853), add(div(sub(Pr, La), E), E)))"
