Rank,RMSE,Length,Model Equation
1,0.5496,21,"sub(E, div(div(sub(La, add(sub(LAS, La), IE)), mul(mul(sub(IE, M), Gd), sub(La, R))), Gd))"
2,0.5609,21,"add(div(sub(EN, add(div(sub(EN, La), 3.446), E)), div(mul(Nd, sub(Pr, R)), sub(La, Gd))), E)"
3,0.5619,21,"add(div(sub(EN, add(div(sub(EN, La), 3.565), E)), div(mul(sub(Y, R), Nd), sub(La, Gd))), E)"
4,0.5729,16,"add(div(div(sub(E, LAS), sub(La, IE)), div(neg(Ce), sub(Sm, Pr))), E)"
5,0.5729,16,"add(div(div(sub(E, LAS), sub(La, IE)), div(neg(Ce), sub(Sm, Pr))), E)"
6,0.5729,16,"add(div(div(sub(E, LAS), sub(La, IE)), div(neg(Ce), sub(Sm, Pr))), E)"
7,0.5729,16,"add(div(sub(LAS, E), mul(sub(IE, La), div(neg(Ce), sub(Sm, Pr)))), E)"
8,0.5729,16,"add(div(div(sub(E, LAS), sub(La, IE)), div(neg(Ce), sub(Sm, Pr))), E)"
9,0.5729,16,"add(div(sub(LAS, E), mul(sub(IE, La), div(neg(Ce), sub(Sm, Pr)))), E)"
10,0.5729,16,"add(div(div(sub(E, LAS), sub(La, IE)), div(neg(Ce), sub(Sm, Pr))), E)"
11,0.5798,20,"add(div(sub(mul(div(-4.343, La), neg(Pr)), E), div(sub(IE, M), div(sub(R, Y), -8.540))), E)"
12,0.5823,16,"add(div(sub(Gd, E), mul(mul(add(Gd, -3.690), neg(Gd)), sub(R, Y))), E)"
13,0.5830,33,"add(mul(div(div(add(mul(div(div(Sm, Gd), sub(R, Y)), div(sub(E, Gd), add(Gd, Gd))), E), Gd), sub(R, Y)), div(sub(E, Gd), add(Gd, Gd))), E)"
14,0.5830,33,"add(mul(div(div(add(mul(div(div(Sm, Gd), sub(R, Y)), div(sub(E, Gd), add(Gd, Gd))), E), Gd), sub(R, Y)), div(sub(E, Gd), add(Gd, Gd))), E)"
15,0.5958,26,"sub(M, div(div(Sm, sub(M, LAS)), mul(add(add(sub(Y, E), add(sub(Y, E), neg(Sm))), add(Gd, add(Nd, -1.690))), R)))"
16,0.6010,23,"add(div(sub(mul(div(-4.071, La), -6.743), E), div(div(-4.071, La), div(sub(R, Y), add(Gd, sub(Gd, Sm))))), E)"
17,0.6015,20,"add(M, div(div(Sm, sub(M, LAS)), mul(sub(add(4.785, sub(add(Nd, Gd), E)), Sm), neg(R))))"
18,0.6015,20,"add(M, div(div(Sm, sub(M, LAS)), mul(sub(add(4.785, sub(add(Nd, Gd), E)), Sm), neg(R))))"
19,0.6015,20,"add(M, div(div(Sm, sub(M, LAS)), mul(sub(add(4.785, sub(add(Nd, Gd), E)), Sm), neg(R))))"
20,0.6032,11,"add(div(sub(LAS, E), mul(sub(IE, La), 4.857)), E)"
21,0.6032,11,"add(div(div(sub(E, LAS), sub(La, IE)), 4.857), E)"
22,0.6032,11,"add(div(sub(LAS, E), mul(4.843, sub(IE, La))), E)"
23,0.6032,11,"add(div(sub(LAS, E), mul(4.911, sub(IE, La))), E)"
24,0.6032,11,"add(div(sub(LAS, E), mul(4.911, sub(IE, La))), E)"
