Rank,RMSE,Length,Model Equation
1,0.5162,27,"add(div(mul(mul(sub(div(EN, La), div(Ce, Nd)), div(sub(Gd, Sm), sub(Nd, EN))), sub(sub(add(EN, IE), E), E)), Gd), E)"
2,0.5405,17,"add(div(neg(div(sub(E, LAS), sub(IE, La))), div(neg(Y), sub(Sm, Y))), E)"
3,0.5496,21,"sub(E, div(div(sub(La, add(sub(LAS, La), IE)), mul(mul(sub(IE, M), Gd), sub(La, R))), Gd))"
4,0.5568,19,"add(div(div(div(div(neg(Ce), sub(EN, Ce)), Gd), sub(La, R)), mul(neg(Gd), Gd)), E)"
5,0.6034,11,"sub(E, div(div(sub(LAS, E), sub(La, IE)), 4.982))"
6,0.6034,11,"add(div(div(sub(E, LAS), sub(La, IE)), Nd), E)"
7,0.6239,21,"add(div(sub(EN, R), div(add(sub(LAS, Sm), div(Gd, E)), sub(div(Sm, EN), div(Ce, IE)))), E)"
8,0.6241,13,"add(div(sub(Gd, E), mul(add(Gd, Gd), sub(Pr, R))), E)"
9,0.6338,24,"add(add(E, div(sub(Ce, E), add(IE, sub(La, Y)))), div(div(neg(Sm), mul(mul(Gd, Gd), sub(Y, R))), Gd))"
10,0.6431,11,"add(div(sub(LAS, IE), mul(4.063, sub(IE, R))), E)"
11,0.6729,21,"add(sub(Y, 7.048), add(div(div(div(E, sub(LAS, M)), Nd), sub(add(Nd, IE), add(-4.021, E))), E))"
12,0.7006,11,"add(M, div(div(Sm, sub(M, LAS)), mul(-4.441, R)))"
13,0.7020,11,"add(M, div(div(Sm, sub(M, LAS)), mul(La, -4.728)))"
14,0.7583,11,"add(div(sub(EN, E), div(Pr, sub(Gd, Ce))), E)"
15,0.8285,9,"sub(div(Ce, E), sub(div(E, Sm), E))"
16,0.8342,13,"add(div(add(div(E, 1.207), div(EN, Gd)), 1.207), div(EN, Gd))"
17,0.8361,7,"sub(div(EN, M), mul(E, -0.801))"
18,0.8399,11,"add(E, div(sub(sub(EN, -6.467), add(E, IE)), Nd))"
19,0.8405,11,"add(add(add(Y, div(sub(EN, LAS), Y)), -7.024), E)"
20,0.8455,9,"sub(3.598, div(sub(IE, add(EN, E)), 2.306))"
21,0.8468,7,"add(div(Y, E), add(E, -1.240))"
22,0.8472,7,"sub(add(E, -1.555), div(-8.628, E))"
23,0.8493,7,"sub(E, div(sub(E, EN), 3.687))"
24,0.8494,7,"add(div(sub(EN, E), 4.119), E)"
25,0.8503,7,"sub(E, div(sub(E, EN), 4.578))"
26,0.8507,7,"add(div(sub(Ce, E), M), E)"
27,0.8518,7,"div(add(mul(EN, R), IE), Pr)"
28,0.8518,7,"div(add(IE, mul(EN, R)), Y)"
29,0.8520,7,"add(sub(IE, Gd), add(E, -0.674))"
30,0.8538,5,"add(add(-7.028, E), Pr)"
31,0.8538,5,"sub(add(E, Y), 7.030)"
32,0.8538,5,"add(sub(E, 7.030), Y)"
33,0.8538,5,"add(add(Pr, E), -7.033)"
34,0.8539,5,"sub(Y, sub(7.016, E))"
35,0.8539,5,"add(add(E, Y), -7.034)"
36,0.8540,5,"add(E, sub(Pr, 7.040))"
37,0.8540,5,"add(E, sub(Y, 7.042))"
38,0.8541,5,"add(E, add(-7.047, Y))"
39,0.8542,5,"add(add(-7.049, Pr), E)"
40,0.8542,5,"add(Y, add(E, -6.999))"
41,0.8545,5,"add(Y, sub(E, 6.991))"
42,0.8546,10,"add(E, neg(neg(div(sub(E, Ce), neg(La)))))"
43,0.8549,7,"add(sub(E, Gd), add(-0.751, IE))"
44,0.8550,5,"mul(0.778, add(1.513, E))"
45,0.8552,5,"add(add(-7.073, Y), E)"
46,0.8553,6,"sub(Y, add(neg(E), 6.975))"
47,0.8553,6,"mul(neg(Y), div(E, -6.993))"
48,0.8554,5,"add(add(-6.972, Pr), E)"
49,0.8555,5,"mul(Pr, div(E, 6.969))"
50,0.8556,5,"div(E, div(6.964, Pr))"
51,0.8556,5,"add(add(-6.969, E), Y)"
52,0.8560,5,"mul(Y, div(E, 6.950))"
53,0.8563,6,"div(E, div(-6.942, neg(Pr)))"
54,0.8565,7,"add(mul(E, 0.823), div(LAS, LAS))"
55,0.8568,6,"sub(add(-7.096, E), neg(Y))"
56,0.8568,5,"div(mul(E, Y), 6.933)"
57,0.8570,7,"div(mul(E, IE), add(0.582, Gd))"
58,0.8571,6,"sub(add(Pr, E), neg(-6.949))"
59,0.8572,5,"mul(Y, div(E, 6.926))"
60,0.8574,6,"mul(div(E, -6.923), neg(Pr))"
61,0.8575,5,"sub(E, sub(7.104, Y))"
62,0.8575,5,"mul(Pr, div(E, 6.920))"
63,0.8597,6,"mul(mul(E, Y), neg(-0.141))"
64,0.8604,5,"mul(M, div(7.143, IE))"
65,0.8604,5,"mul(div(7.145, IE), M)"
66,0.8623,6,"sub(sub(Y, 7.145), neg(E))"
67,0.8631,6,"div(mul(Y, E), neg(-7.129))"
68,0.8634,6,"neg(div(-6.991, div(IE, M)))"
69,0.8634,6,"sub(add(Y, -7.153), neg(E))"
70,0.8644,5,"add(-7.160, add(Pr, E))"
71,0.8676,5,"mul(E, div(Pr, 7.166))"
72,0.8690,5,"mul(div(Pr, 6.817), E)"
73,0.8732,13,"sub(E, neg(mul(div(E, neg(Pr)), div(div(Gd, Ce), M))))"
74,0.8769,3,"mul(E, 0.976)"
75,0.8769,3,"mul(E, 0.976)"
76,0.8769,3,"mul(0.976, E)"
77,0.8769,3,"mul(E, 0.976)"
78,0.8769,3,"div(E, 1.025)"
79,0.8770,3,"mul(0.975, E)"
80,0.8770,3,"mul(0.975, E)"
81,0.8770,3,"mul(0.975, E)"
82,0.8770,3,"div(E, 1.023)"
83,0.8770,3,"div(E, 1.023)"
84,0.8770,3,"div(E, 1.026)"
85,0.8770,3,"div(E, 1.026)"
86,0.8770,3,"div(E, 1.023)"
87,0.8770,3,"div(E, 1.026)"
88,0.8770,3,"div(E, 1.026)"
89,0.8770,3,"div(E, 1.022)"
90,0.8770,3,"mul(E, 0.974)"
91,0.8770,3,"mul(0.974, E)"
92,0.8771,3,"mul(E, 0.979)"
93,0.8771,3,"mul(0.979, E)"
94,0.8771,3,"mul(0.979, E)"
