Rank,RMSE,Length,Model Equation
1,0.4997,31,"add(div(div(div(sub(EN, add(div(sub(EN, La), sub(Ce, 3.370)), E)), div(IE, sub(Gd, La))), div(LAS, 8.700)), div(LAS, mul(div(E, Nd), Sm))), E)"
2,0.5162,27,"add(div(mul(mul(sub(div(EN, La), div(Ce, Nd)), div(sub(Gd, Sm), sub(Nd, EN))), sub(sub(add(EN, IE), E), E)), Gd), E)"
3,0.5405,17,"add(div(neg(div(sub(E, LAS), sub(IE, La))), div(neg(Y), sub(Sm, Y))), E)"
4,0.5496,21,"sub(E, div(div(sub(La, add(sub(LAS, La), IE)), mul(mul(sub(IE, M), Gd), sub(La, R))), Gd))"
5,0.5568,19,"add(div(div(div(div(neg(Ce), sub(EN, Ce)), Gd), sub(La, R)), mul(neg(Gd), Gd)), E)"
6,0.5689,15,"add(div(div(sub(R, M), sub(IE, La)), mul(sub(E, 6.577), -8.805)), E)"
7,0.5751,18,"add(div(sub(La, LAS), mul(mul(sub(Pr, R), sub(Ce, EN)), neg(mul(Gd, 4.759)))), E)"
8,0.5803,16,"add(div(div(div(Y, neg(Gd)), sub(IE, La)), div(Nd, sub(E, LAS))), E)"
9,0.6034,11,"sub(E, div(div(sub(LAS, E), sub(La, IE)), 4.982))"
10,0.6034,11,"add(div(div(sub(E, LAS), sub(La, IE)), Nd), E)"
11,0.6050,25,"add(div(sub(EN, E), div(mul(sub(6.642, E), Nd), div(sub(EN, E), div(mul(sub(6.642, E), Nd), sub(La, Gd))))), E)"
12,0.6113,13,"add(div(Gd, add(mul(sub(R, Pr), mul(Gd, Gd)), -3.146)), E)"
13,0.6239,21,"add(div(sub(EN, R), div(add(sub(LAS, Sm), div(Gd, E)), sub(div(Sm, EN), div(Ce, IE)))), E)"
14,0.6241,13,"add(div(sub(Gd, E), mul(add(Gd, Gd), sub(Pr, R))), E)"
15,0.6338,24,"add(add(E, div(sub(Ce, E), add(IE, sub(La, Y)))), div(div(neg(Sm), mul(mul(Gd, Gd), sub(Y, R))), Gd))"
16,0.6431,11,"add(div(sub(LAS, IE), mul(4.063, sub(IE, R))), E)"
17,0.6729,21,"add(sub(Y, 7.048), add(div(div(div(E, sub(LAS, M)), Nd), sub(add(Nd, IE), add(-4.021, E))), E))"
18,0.6946,15,"add(div(Ce, mul(sub(La, IE), div(add(E, Y), sub(E, Gd)))), E)"
19,0.7006,11,"add(M, div(div(Sm, sub(M, LAS)), mul(-4.441, R)))"
20,0.7011,11,"add(M, div(div(Sm, sub(M, LAS)), mul(R, -4.582)))"
21,0.7020,11,"add(M, div(div(Sm, sub(M, LAS)), mul(La, -4.728)))"
22,0.7232,31,"add(div(div(sub(Sm, Gd), sub(add(Nd, Sm), mul(neg(sub(EN, E)), neg(neg(M))))), sub(add(Nd, Sm), mul(neg(sub(EN, E)), neg(neg(M))))), E)"
