Rank,RMSE,Length,Model Equation
1,0.6541,25,"add(div(sub(Pr, E), 3.713), add(div(sub(Ce, Y), LAS), add(div(sub(6.838, Ce), mul(sub(R, Y), mul(2.441, M))), E)))"
2,0.6791,31,"add(div(sub(Ce, E), mul(sub(Y, R), add(Ce, E))), add(div(sub(Pr, Y), La), add(div(sub(Pr, Y), La), add(div(sub(Ce, E), E), E))))"
3,0.7147,45,"add(div(Sm, mul(sub(LAS, M), mul(add(div(Sm, mul(sub(LAS, M), mul(Nd, Ce))), add(div(sub(add(EN, 1.664), LAS), LAS), mul(0.482, add(M, E)))), Ce))), add(div(sub(add(EN, 1.664), LAS), LAS), mul(0.482, add(M, E))))"
4,0.7303,39,"add(mul(0.482, add(M, add(sub(R, La), E))), div(div(Sm, Ce), mul(sub(M, LAS), neg(add(mul(0.482, add(M, add(sub(R, La), E))), div(div(Sm, Ce), mul(sub(M, LAS), neg(Nd))))))))"
5,0.7469,18,"mul(0.482, add(M, add(sub(R, La), add(neg(div(div(-1.171, 4.877), sub(LAS, M))), E))))"
6,0.7477,33,"sub(mul(0.482, add(M, add(0.482, E))), div(div(Sm, sub(mul(0.482, add(M, add(0.482, E))), div(div(Sm, Nd), mul(sub(M, LAS), Pr)))), mul(sub(M, LAS), Pr)))"
7,0.7495,18,"add(div(div(Sm, Nd), mul(neg(Pr), sub(M, LAS))), mul(0.482, add(M, add(0.482, E))))"
8,0.7500,33,"mul(0.482, add(E, add(div(Sm, mul(mul(3.447, mul(0.482, add(E, add(div(Sm, mul(mul(3.447, Nd), sub(LAS, M))), add(0.482, M))))), sub(LAS, M))), add(0.482, M))))"
9,0.7509,23,"add(div(add(sub(Pr, LAS), add(add(div(div(-5.015, -3.834), sub(Gd, E)), sub(M, La)), sub(M, La))), LAS), E)"
10,0.7567,15,"mul(0.482, add(M, add(div(sub(Ce, div(1.834, sub(M, LAS))), 8.140), E)))"
11,0.7921,15,"mul(0.482, add(M, add(div(E, mul(sub(LAS, M), mul(Nd, 3.798))), E)))"
12,0.7949,19,"add(div(add(add(sub(M, E), sub(Ce, E)), add(sub(M, La), sub(Pr, IE))), Sm), E)"
13,0.7993,18,"add(div(neg(sub(sub(IE, Pr), sub(Ce, La))), Sm), add(div(sub(M, E), 3.013), E))"
14,0.7993,23,"add(div(sub(EN, E), Sm), add(div(sub(Ce, E), div(mul(Sm, Ce), R)), add(div(sub(Pr, Y), 3.100), E)))"
15,0.7994,19,"add(div(sub(Pr, La), Sm), add(div(sub(M, E), 2.917), add(div(sub(Ce, IE), Sm), E)))"
16,0.8023,19,"add(div(sub(EN, Y), Sm), add(div(sub(Ce, Y), Sm), add(div(sub(Pr, E), 2.749), E)))"
17,0.8033,19,"add(div(sub(Ce, IE), Sm), add(div(sub(Pr, La), E), add(div(sub(M, E), 3.958), E)))"
18,0.8036,19,"add(div(sub(sub(sub(sub(Pr, E), sub(E, M)), sub(LAS, EN)), sub(LAS, EN)), LAS), E)"
19,0.8036,19,"add(div(sub(sub(Pr, add(LAS, sub(E, EN))), sub(add(LAS, sub(E, EN)), M)), LAS), E)"
20,0.8036,20,"add(div(neg(sub(add(sub(add(sub(LAS, EN), E), Pr), add(sub(LAS, EN), E)), M)), LAS), E)"
21,0.8039,23,"add(div(sub(M, E), 4.470), add(div(sub(Pr, add(add(LAS, add(add(LAS, E), neg(EN))), neg(EN))), LAS), E))"
22,0.8050,19,"add(div(sub(M, La), Sm), add(div(sub(Ce, Y), Sm), add(div(sub(Pr, E), 3.619), E)))"
23,0.8050,15,"add(sub(div(Ce, La), div(Gd, Pr)), add(div(sub(M, E), 2.444), E))"
24,0.8061,15,"add(div(sub(M, E), mul(0.501, E)), add(div(sub(R, La), 2.570), E))"
25,0.8063,19,"add(div(sub(M, E), 2.630), add(div(sub(R, La), LAS), add(div(sub(R, La), LAS), E)))"
26,0.8064,19,"add(div(sub(R, La), LAS), add(div(sub(R, La), LAS), add(div(sub(M, E), 2.617), E)))"
27,0.8069,17,"add(sub(div(Ce, E), div(IE, 7.331)), add(sub(div(EN, E), div(E, M)), E))"
28,0.8071,17,"add(div(sub(Pr, mul(div(La, Ce), E)), LAS), add(div(sub(M, E), 3.354), E))"
29,0.8077,15,"add(div(add(Y, -4.626), Ce), mul(0.482, add(add(M, E), sub(R, La))))"
30,0.8085,19,"add(div(sub(Ce, La), Sm), add(div(sub(M, E), 4.343), add(div(sub(Pr, E), LAS), E)))"
31,0.8086,13,"add(div(sub(M, E), 2.654), add(div(sub(R, La), 2.430), E))"
32,0.8086,13,"add(div(sub(M, E), 2.707), add(div(sub(R, La), 2.369), E))"
33,0.8087,13,"add(div(sub(R, La), 2.329), add(div(sub(M, E), 2.675), E))"
34,0.8087,13,"add(div(sub(M, E), 2.627), add(div(sub(R, La), 2.388), E))"
35,0.8087,13,"add(div(sub(M, E), 2.613), add(div(sub(R, La), 2.384), E))"
36,0.8087,13,"add(div(sub(M, E), 2.688), add(div(sub(R, La), 2.451), E))"
37,0.8087,13,"add(div(sub(M, E), 2.733), add(div(sub(R, La), 2.324), E))"
38,0.8087,13,"add(div(sub(M, E), 2.661), add(div(sub(R, La), 2.488), E))"
39,0.8088,13,"mul(0.482, add(mul(0.482, add(M, Ce)), add(div(Nd, La), E)))"
40,0.8088,13,"mul(0.482, add(mul(0.482, add(M, Ce)), add(div(Nd, La), E)))"
41,0.8088,13,"mul(0.482, add(add(mul(0.482, add(M, Ce)), div(Nd, La)), E))"
42,0.8088,13,"mul(0.482, add(add(div(Nd, La), E), mul(0.482, add(Ce, M))))"
43,0.8088,13,"mul(0.482, add(mul(0.482, add(M, Ce)), add(div(Nd, La), E)))"
44,0.8088,13,"add(div(sub(M, E), 2.713), add(div(sub(R, La), 2.250), E))"
45,0.8088,13,"add(div(sub(R, La), 2.521), add(div(sub(M, E), 2.677), E))"
46,0.8088,13,"add(div(sub(R, La), 2.539), add(div(sub(M, E), 2.649), E))"
47,0.8089,17,"add(div(sub(add(EN, Pr), add(E, LAS)), 4.258), add(div(sub(M, E), Sm), E))"
48,0.8089,13,"add(div(sub(R, La), 2.532), add(div(sub(M, E), 2.576), E))"
49,0.8090,13,"add(div(sub(R, La), 2.591), add(div(sub(M, E), 2.591), E))"
50,0.8091,15,"neg(sub(div(sub(La, R), 2.610), neg(sub(div(sub(E, M), 2.610), E))))"
51,0.8091,13,"add(div(sub(R, La), 2.525), add(div(sub(M, E), 2.761), E))"
52,0.8091,13,"add(div(sub(M, E), 2.631), add(div(sub(R, La), 2.631), E))"
53,0.8092,21,"mul(0.482, add(M, add(div(div(add(IE, Pr), mul(La, LAS)), mul(sub(LAS, M), div(E, EN))), E)))"
54,0.8092,13,"add(div(sub(M, E), 2.642), add(div(sub(R, La), 2.642), E))"
55,0.8092,13,"add(div(sub(M, E), 2.506), add(div(sub(R, La), 2.506), E))"
56,0.8093,13,"add(div(sub(R, La), 2.663), add(div(sub(M, E), 2.663), E))"
57,0.8094,15,"add(div(div(add(M, add(M, div(8.137, sub(Gd, E)))), Y), LAS), E)"
58,0.8094,13,"add(div(sub(M, E), 2.673), add(div(sub(R, La), 2.673), E))"
59,0.8094,13,"add(div(sub(R, La), 2.678), add(div(sub(M, E), 2.678), E))"
60,0.8094,13,"add(div(sub(M, E), 2.679), add(div(sub(R, La), 2.679), E))"
61,0.8096,13,"add(div(sub(R, La), 2.697), add(div(sub(M, E), 2.697), E))"
62,0.8096,13,"add(div(sub(R, La), 2.701), add(div(sub(M, E), 2.701), E))"
63,0.8098,13,"add(div(sub(R, La), 2.445), add(div(sub(M, E), 2.445), E))"
64,0.8098,17,"add(div(sub(Ce, E), Sm), add(div(sub(mul(M, div(Pr, La)), E), LAS), E))"
65,0.8099,12,"sub(neg(div(sub(Y, E), 2.277)), sub(div(La, Ce), 7.263))"
66,0.8100,13,"sub(neg(div(sub(Y, E), 2.221)), sub(div(La, Ce), neg(-7.302)))"
67,0.8101,11,"add(div(sub(EN, LAS), 2.089), mul(0.482, add(6.944, E)))"
68,0.8101,9,"mul(0.482, add(add(E, EN), sub(6.934, LAS)))"
69,0.8101,10,"mul(0.477, sub(EN, neg(sub(add(E, 7.074), LAS))))"
70,0.8102,9,"mul(0.482, add(add(E, EN), sub(6.928, LAS)))"
71,0.8102,13,"add(div(sub(R, La), 2.276), add(div(sub(M, E), 2.989), E))"
72,0.8103,9,"mul(0.477, add(add(EN, sub(7.054, LAS)), E))"
73,0.8104,9,"mul(0.482, add(7.001, add(E, sub(EN, LAS))))"
74,0.8105,9,"mul(0.482, add(sub(add(E, EN), LAS), 6.897))"
75,0.8107,9,"mul(0.482, add(add(E, EN), sub(6.885, LAS)))"
76,0.8107,19,"add(div(add(sub(M, LAS), add(sub(EN, E), add(sub(EN, E), sub(Pr, E)))), LAS), E)"
77,0.8107,19,"add(div(add(add(add(sub(Pr, LAS), sub(M, E)), sub(EN, E)), sub(EN, E)), LAS), E)"
78,0.8107,19,"add(div(add(sub(EN, E), add(sub(EN, E), add(sub(M, LAS), sub(Pr, E)))), LAS), E)"
79,0.8111,9,"mul(0.482, add(mul(EN, div(E, LAS)), 6.852))"
80,0.8111,9,"mul(div(add(6.487, EN), add(E, LAS)), E)"
81,0.8113,9,"mul(div(add(6.465, EN), add(E, LAS)), E)"
82,0.8114,10,"mul(0.482, add(add(sub(neg(-7.048), LAS), E), EN))"
83,0.8115,13,"mul(0.482, add(add(mul(0.482, add(M, Ce)), div(EN, IE)), E))"
84,0.8116,17,"add(5.438, div(add(sub(EN, Y), add(sub(EN, LAS), add(sub(E, Pr), E))), LAS))"
85,0.8118,9,"mul(0.482, add(6.844, sub(E, sub(LAS, EN))))"
86,0.8119,11,"add(div(sub(sub(sub(EN, -6.627), LAS), E), 2.134), E)"
87,0.8120,23,"add(div(sub(Ce, E), E), add(div(sub(Pr, E), La), add(div(sub(M, Y), sub(LAS, sub(Nd, Y))), E)))"
88,0.8121,13,"add(div(sub(Pr, E), 3.110), add(div(sub(EN, LAS), 2.081), E))"
89,0.8122,9,"mul(div(add(6.412, EN), add(E, LAS)), E)"
90,0.8122,13,"add(div(sub(EN, LAS), 2.181), add(div(sub(Pr, E), 3.171), E))"
91,0.8122,15,"add(div(div(sub(EN, LAS), 1.395), 1.544), add(div(sub(Pr, E), 3.243), E))"
92,0.8122,17,"add(div(sub(Ce, sub(La, div(La, IE))), Sm), add(div(sub(M, E), 2.258), E))"
93,0.8123,13,"add(div(sub(Pr, E), 3.046), add(div(sub(EN, LAS), 2.114), E))"
94,0.8124,21,"add(div(sub(M, E), La), add(div(sub(Pr, E), add(La, -0.254)), add(div(sub(Ce, Y), LAS), E)))"
95,0.8125,13,"add(div(sub(EN, LAS), 1.975), add(div(sub(Pr, E), 3.223), E))"
96,0.8126,9,"sub(3.598, div(sub(LAS, add(EN, E)), 2.236))"
97,0.8128,11,"add(div(sub(EN, LAS), 2.190), mul(0.482, add(E, 6.817)))"
98,0.8129,19,"add(div(sub(M, E), Sm), add(div(sub(Pr, Y), La), add(div(sub(Ce, E), E), E)))"
